title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2015 Maruti Celerio ZXI,₹3.40 Lakh,"Bandra East, Mumbai",May 2015,Comprehensive,Petrol,5 Seats,"67,586 Kms",Thane,First Owner,998 cc,Manual,2015,998 cc,67.04 bhp,23.1 kmpl,Petrol,,,,3715mm,,,,,,,,
2016 Honda City i VTEC CVT SV,₹5.09 Lakh,"Kandivali East, Mumbai",Oct 2016,Expired,Petrol,5 Seats,"60,105 Kms",Mumbai,First Owner,1497 cc,Automatic,2016,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2012 Maruti Wagon R VXI,₹2.99 Lakh,"Santacruz Central, Mumbai",Nov 2012,Expired,Petrol,5 Seats,"19,605 Kms",Mumbai,First Owner,998 cc,Manual,2012,998 cc,67.1 bhp,18.9 kmpl,Petrol,,,,3595mm,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹9.25 Lakh,"Ghatkopar East, Mumbai",Jun 2017,Expired,Petrol,5 Seats,"56,000 Kms",Mumbai,First Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2011 Maruti Wagon R VXI BS IV,₹2.15 Lakh,"Kandivali West, Mumbai",Nov 2011,Comprehensive,Petrol,5 Seats,"85,226 Kms",kalyan,Second Owner,998 cc,Manual,2011,998 cc,67.1 bhp,18.9 kmpl,Petrol,,,,3595mm,,,,,,,,
2013 Maruti Ertiga VXI,₹5.45 Lakh,"Borivali West, Mumbai",Aug 2013,Comprehensive,Petrol,7 Seats,"21,883 Kms",Mumbai,First Owner,1373 cc,Manual,2013,1373 cc,93.7 bhp,16.02 kmpl,Petrol,,7,,,,,,,,,,
2018 Toyota Yaris J CVT BSIV,₹6.50 Lakh,"Kandivali West, Mumbai",Jun 2018,Comprehensive,Petrol,5 Seats,"57,751 Kms",Mumbai,First Owner,1496 cc,Automatic,2018,1496 cc,105.5 bhp,17.8 kmpl,Petrol,,,,,3,,,,,,,
2018 Ford Figo 1.5P Titanium AT,₹4.75 Lakh,"Andheri East, Mumbai",Nov 2018,Comprehensive,Petrol,5 Seats,"49,000 Kms",Mumbai,Second Owner,1499 cc,Automatic,2018,1499 cc,110.4 bhp,17.01 kmpl,Petrol,,,,3886mm,,,,,,,,
2020 Maruti Baleno 1.2 Zeta,₹6.75 Lakh,"Borivali West, Mumbai",Oct 2020,Comprehensive,Petrol,5 Seats,"39,000 Kms",Mumbai,First Owner,1197 cc,Manual,2020,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,,
2016 Datsun RediGO 1.0 T Option Limited Edition,₹2.49 Lakh,"Borivali West, Mumbai",Dec 2016,Expired,Petrol,5 Seats,"55,000 Kms",Navi Mumbai,Second Owner,999 cc,Manual,2016,999 cc,67 bhp,22.5 kmpl,Petrol,,,,3429mm,,,,,,,,
2023 Hyundai Creta SX Opt Knight Diesel AT,₹19 Lakh,"Khar (w), Mumbai",Sept 2023,Comprehensive,Diesel,5 Seats,"31,000 Kms",230B,First Owner,1493 cc,Automatic,2023,1493 cc,113.45 bhp,14 kmpl,Diesel,,5,2WD,,,,,,,,,
