title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2015 Hyundai i10 Sportz 1.1L,₹3.30 Lakh,"Dehu Road Cantt, Pune",Oct 2015,Comprehensive,Petrol,5 Seats,"63,324 Kms",Pune,First Owner,1086 cc,Manual,2015,1086 cc,,68.05 bhp,19.81 kmpl,Petrol,,,,3585mm,,,,,,,
2012 Honda Brio S MT,₹2.68 Lakh,"Hadapsar, Pune",Mar 2012,Comprehensive,Petrol,5 Seats,"34,391 Kms",Pune,First Owner,1198 cc,Manual,2012,1198 cc,,86.8 bhp,19.4 kmpl,Petrol,,,,3610mm,,,,,,,
2024 Volkswagen Tiguan 2.0 TSI Elegance,₹38.50 Lakh,"Hadapsar, Pune",,Expired,Petrol,5 Seats,"3,600 Kms",,,1984 cc,Automatic,2024,1984 cc,,187.74 bhp,12.65 kmpl,Petrol,AWD,5,,,5 Star,,,,,,
2014 Hyundai Grand i10 AT Asta,₹4.35 Lakh,"Chinchwadgaon, Pune",Aug 2014,Expired,Petrol,5 Seats,"61,000 Kms",Pune,First Owner,1197 cc,Automatic,2014,1197 cc,,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,
2010 Hyundai i10 Magna 1.1,₹1.75 Lakh,"Yerwada, Pune",Aug 2010,Expired,Petrol,5 Seats,"49,000 Kms",Mumbai,Second Owner,1086 cc,Manual,2010,1086 cc,,68.05 bhp,19.81 kmpl,Petrol,,,,3585mm,,,,,,,
2016 Renault Duster 110PS Diesel RxZ,₹5.98 Lakh,"Thathawade, Pune",Feb 2016,Expired,Diesel,5 Seats,"54,119 Kms",Pune,First Owner,1461 cc,Manual,2016,1461 cc,205mm,108.45 bhp,19.6 kmpl,,FWD,5,,,,,,,,,
2011 Volkswagen Vento Petrol Highline AT,₹2.65 Lakh,"Viman Nagar, Pune",Apr 2011,Third Party,Petrol,5 Seats,"54,000 Kms",Pimpri chinchwad,Second Owner,1598 cc,Automatic,2011,1598 cc,,103.6 bhp,14.4 kmpl,Petrol,,,,,,,,,,,
2014 Skoda Rapid 1.6 TDI Ambition Plus,₹5.50 Lakh,"Pashan, Pune",Sept 2014,Expired,Diesel,5 Seats,"1,27,000 Kms",Pune,First Owner,1598 cc,Manual,2014,1598 cc,,103.5 bhp,20.5 kmpl,Diesel,,,,,,,,,,,
2016 Hyundai Xcent Petrol,₹3.98 Lakh,"Wakad, Pune",Nov 2016,Comprehensive,Petrol,,"38,991 Kms",Pimpri chinchwad,First Owner,,Manual,2016,,,,,Petrol,,,,,,,,,,,
2019 Maruti Celerio VXI CNG BSIV,₹4.35 Lakh,"Loni Kalbhor, Pune",Aug 2019,Expired,CNG,5 Seats,"66,000 Kms",Pimpri chinchwad,First Owner,998 cc,Manual,2019,,,,,,,,,,,,,,,,
2014 Maruti Wagon R VXI BSVI,₹2.80 Lakh,"Kothrud, Pune",Mar 2014,Expired,Petrol,5 Seats,"85,000 Kms",Pune,First Owner,998 cc,Manual,2014,998 cc,,65.71 bhp,24.35 kmpl,Petrol,,,2,,,,,,,,
2018 Audi Q3 30 TFSI Premium FWD,₹20.40 Lakh,"Infotech Park, Pune",Dec 2018,Comprehensive,Petrol,5 Seats,"41,798 Kms",Pune,Second Owner,1395 cc,Automatic,2018,1395 cc,,147.51 bhp,,Petrol,FWD,5,,,,204 kmph,,,,,
2024 Tata Nexon Creative Plus Dark Diesel AMT,₹11.46 Lakh,"Wakad, Pune",Jun 2024,Comprehensive,Diesel,5 Seats,"5,289 Kms",Akola,First Owner,1497 cc,Automatic,2024,1497 cc,208 mm,113.31 bhp,24.08 kmpl,,FWD,5,,,5 Star,,,,,,
2022 Kia Seltos GTX Plus DCT,₹16.50 Lakh,"Undri, Pune",Sept 2022,Comprehensive,Petrol,5 Seats,"27,984 Kms",Pune,First Owner,1353 cc,Automatic,2022,1353 cc,,138.08 bhp,16.5 kmpl,Petrol,FWD,5,,,,,,,,,
2022 Jeep Meridian Limited Opt AT BSVI,₹33.50 Lakh,"R.s., Pune",Jun 2022,Comprehensive,Diesel,7 Seats,"33,200 Kms",Pune,First Owner,1956 cc,Automatic,2022,1956 cc,,167.67 bhp,15.7 kmpl,Diesel,FWD,7,,,,,,,,,
2016 Maruti Swift Dzire VXI,₹5.30 Lakh,"Loni Kalbhor, Pune",Mar 2016,Third Party,Petrol,5 Seats,"55,000 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,83.14 bhp,20.85 kmpl,Petrol,,,,,,,,,,,
2008 Maruti Wagon R LXI Minor,₹1.25 Lakh,"Yerwada, Pune",Aug 2008,Comprehensive,Petrol,5 Seats,"1,05,000 Kms",Navi Mumbai,Third Owner,1061 cc,Manual,2008,1061 cc,,67 bhp,18.9 kmpl,Petrol,,,,3595mm,,,,,,,
2019 Tata Tiago XZ Opt,₹4.65 Lakh,Pune,2019,Expired,Petrol,5 Seats,"40,000 Kms",Pune,First Owner,1199 cc,Manual,2019,1199 cc,,83.83 bhp,23.84 kmpl,Petrol,,,2,,,,,,,,
2022 Tata Nexon EV XM,₹9 Lakh,Pune,2022,Expired,Electric,5 Seats,"30,000 Kms",,First Owner,,Automatic,2022,,,127 bhp,,,,5,,,5 Star,,,312 km,30.2 kWh,60 Mins,9.16 Hours
2014 Maruti Alto K10 VXI,₹2.55 Lakh,"Rahatani, Pune",May 2014,Third Party,Petrol,5 Seats,"48,000 Kms",Pimpri chinchwad,First Owner,998 cc,Manual,2014,998 cc,,67.05 bhp,23.95 kmpl,Petrol,,,1,,,,,,,,
2018 BMW 6 Series GT 630d M Sport 2018-2021,₹37 Lakh,"Baner, Pune",Oct 2018,Comprehensive,Diesel,4 Seats,"59,500 Kms",Mumbai,Second Owner,2993 cc,Automatic,2018,2993 cc,,261.4 bhp,,Diesel,FWD,,6,,,,,,,,
2012 Hyundai i10 Sportz AT,₹2.95 Lakh,"Bavdhan, Pune",May 2012,Expired,Petrol,5 Seats,"59,000 Kms",Pune,First Owner,1197 cc,Automatic,2012,1197 cc,,78.9 bhp,16.95 kmpl,Petrol,,,,3585mm,,,,,,,
2016 Audi Q3 35 TDI Quattro Premium,₹12.75 Lakh,"Camp, Pune",Jun 2016,Expired,Diesel,5 Seats,"85,000 Kms",Pimpri chinchwad,Third Owner,1968 cc,Automatic,2016,1968 cc,,174.33 bhp,,Diesel,AWD,5,,,,212 kmph,,,,,
2021 Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,₹7.43 Lakh,"Wakad, Pune",Oct 2021,Comprehensive,Diesel,5 Seats,"13,659 Kms",Pune,First Owner,1497 cc,Manual,2021,1497 cc,,108.5 bhp,21.5 kmpl,Diesel,FWD,,,,,,,,,,
2015 Volkswagen Polo 1.2 MPI Comfortline,₹5.25 Lakh,"Hadapsar, Pune",Feb 2016,Comprehensive,Petrol,5 Seats,"37,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2015,1199 cc,,74 bhp,16.2 kmpl,Petrol,,,,3971mm,,,,,,,
2017 Renault KWID RXT,₹2.40 Lakh,"Thathawade, Pune",Nov 2017,Third Party,Petrol,5 Seats,"54,343 Kms",shrirampur,Second Owner,799 cc,Manual,2017,799 cc,,53.3 bhp,25.17 kmpl,Petrol,,,,3679mm,,,,,,,
2017 Audi A6 35 TFSI Matrix,₹19.50 Lakh,"Baner, Pune",Mar 2017,Expired,Petrol,5 Seats,"69,300 Kms",Thane,First Owner,1798 cc,Automatic,2017,,,,,,,,,,,,,,,,
2018 Renault Duster 85PS Diesel RxZ,₹7.75 Lakh,"Rahatani, Pune",Jul 2018,Comprehensive,Diesel,5 Seats,"85,000 Kms",Pune,First Owner,1461 cc,Manual,2018,1461 cc,205mm,83.8 bhp,19.87 kmpl,,FWD,,,,,,,,,,
2016 Volkswagen Ameo 1.2 MPI Comfortline,₹4 Lakh,"Kothrud, Pune",Oct 2016,Expired,Petrol,5 Seats,"96,000 Kms",Pune,First Owner,1198 cc,Manual,2016,1198 cc,,73.75 bhp,17 kmpl,Petrol,,,,,,,,,,,
2021 Hyundai Venue SX Turbo iMT,₹7.36 Lakh,"Thathawade, Pune",Dec 2021,Expired,Petrol,5 Seats,"76,679 Kms",Thane,First Owner,998 cc,Manual,2021,998 cc,,118.35 bhp,18 kmpl,Petrol,FWD,,,,,,,,,,
2013 BMW 3 Series 320d Prestige,₹9.50 Lakh,"Mundhwa, Pune",Sept 2013,Comprehensive,Diesel,5 Seats,"48,000 Kms",Mumbai,Second Owner,1995 cc,Automatic,2013,1995 cc,,184 bhp,,Diesel,RWD,4,,,,235 kmph,,,,,
2019 Hyundai Creta 1.6 VTVT SX Plus,₹9.91 Lakh,"Yerwada, Pune",Aug 2019,Comprehensive,Petrol,5 Seats,"68,000 Kms",Mumbai,Second Owner,1591 cc,Manual,2019,1591 cc,190mm,121.3 bhp,13 kmpl,,FWD,,,,,,,,,,
2014 Tata Zest Revotron 1.2 XT,₹3.09 Lakh,"Pimple Saudagar, Pune",Jan 2015,Third Party,Petrol,5 Seats,"44,000 Kms",Pune,Second Owner,1193 cc,Manual,2014,1193 cc,,88.7 bhp,17.57 kmpl,Petrol,,,2,,,,,,,,
2015 Volkswagen Vento TSI,₹4.35 Lakh,"Kothrud, Pune",Sept 2015,Expired,Petrol,5 Seats,"94,000 Kms",Pune,Second Owner,1197 cc,Automatic,2015,1197 cc,,103.6 bhp,16.93 kmpl,Petrol,,,,,,,,,,,
2013 Hyundai i10 Magna 1.1,₹2.77 Lakh,"Hadapsar, Pune",Aug 2013,Comprehensive,Petrol,5 Seats,"55,506 Kms",Pimpri chinchwad,First Owner,1086 cc,Manual,2013,1086 cc,,68.05 bhp,19.81 kmpl,Petrol,,,,3585mm,,,,,,,
2012 Ford Figo Diesel Titanium,₹2 Lakh,Pune,2012,Expired,Diesel,5 Seats,"87,000 Kms",,First Owner,1399 cc,Manual,2012,1399 cc,,68.05 bhp,20 kmpl,Diesel,,,,3795mm,,,,,,,
2009 Hyundai i10 Magna 1.2,₹2.10 Lakh,"Hadapsar, Pune",Mar 2009,Third Party,Petrol,5 Seats,"70,000 Kms",Pimpri chinchwad,Third Owner,1197 cc,Manual,2009,1197 cc,,78.9 bhp,20.36 kmpl,Petrol,,,,3585mm,,,,,,,
2014 Hyundai Verna 1.6 SX,₹4.50 Lakh,"Kharadi, Pune",Jul 2014,Expired,Diesel,5 Seats,"78,108 Kms",Pimpri chinchwad,Second Owner,1582 cc,Manual,2014,1582 cc,,126.32 bhp,22.32 kmpl,Diesel,,,,,,,,,,,
2019 Maruti Celerio ZXI AMT,₹4.35 Lakh,"Thathawade, Pune",Sept 2019,Comprehensive,Petrol,5 Seats,"53,617 Kms",Pune,First Owner,998 cc,Automatic,2019,998 cc,,65.71 bhp,26 kmpl,Petrol,,,,,,,313 Litres,,,,
2018 Toyota Innova Crysta 2.8 GX AT 8S BSIV,₹18.50 Lakh,"Camp, Pune",Jun 2018,Expired,Diesel,8 Seats,"60,000 Kms",Pune,Second Owner,2755 cc,Automatic,2018,2755 cc,,171.5 bhp,,Diesel,,7,3,,,,,,,,
2016 Hyundai i20 Sportz 1.2,₹4.85 Lakh,"Chinchwadgaon, Pune",May 2016,Comprehensive,Petrol,5 Seats,"69,000 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2014 BMW 5 Series 520d Luxury Line,₹16.97 Lakh,"Infotech Park, Pune",Aug 2014,Comprehensive,Diesel,5 Seats,"75,595 Kms",Pimpri chinchwad,Second Owner,1995 cc,Automatic,2014,,,,,,,,,,,,,,,,
2019 Hyundai i20 Asta 1.2,₹6.93 Lakh,"Hadapsar, Pune",Dec 2019,Comprehensive,Petrol,5 Seats,"21,439 Kms",Pune,First Owner,1197 cc,Manual,2019,,,,,,,,,,,,,,,,
2012 Maruti Wagon R VXI BS IV,₹2.75 Lakh,"Chinchwadgaon, Pune",Mar 2012,Expired,Petrol,5 Seats,"30,000 Kms",Pimpri chinchwad,First Owner,998 cc,Manual,2012,998 cc,,67.1 bhp,18.9 kmpl,Petrol,,,,3595mm,,,,,,,
2006 Maruti Swift 1.3 VXi,₹80 Thousand,Pune,2006,Expired,Petrol,5 Seats,"80,000 Kms",Navi Mumbai,Third Owner,1298 cc,Manual,2006,1298 cc,,,16.1 kmpl,Petrol,,,,3760mm,,,,,,,
2015 Maruti Wagon R VXI 1.2,₹3.21 Lakh,"Wakad, Pune",Oct 2015,Comprehensive,Petrol,5 Seats,"71,740 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2015,1197 cc,,81.80 bhp,20.52 kmpl,Petrol,,,1,,,,,,,,
2017 Honda WR-V i-DTEC VX,₹7.25 Lakh,"Pashan, Pune",Nov 2017,Third Party,Diesel,5 Seats,"60,500 Kms",Pimpri chinchwad,Second Owner,1498 cc,Manual,2017,1498 cc,188mm,98.6 bhp,25.5 kmpl,,FWD,,,,,,,,,,
2013 Toyota Fortuner 4x2 Manual,₹13.75 Lakh,"Yerwada, Pune",Feb 2013,Comprehensive,Diesel,7 Seats,"1,68,000 Kms",Pimpri chinchwad,First Owner,2982 cc,Manual,2013,2982 cc,220mm,168.5 bhp,13 kmpl,,FWD,7,,,,,,,,,
2017 Volkswagen Ameo 1.5 TDI Comfortline Plus,₹5.95 Lakh,"Kharadi, Pune",Jul 2017,Third Party,Diesel,5 Seats,"83,000 Kms",Pune,First Owner,1498 cc,Manual,2017,,,,,,,,,,,,,,,,
2021 Maruti Baleno Zeta,₹6.17 Lakh,"Thathawade, Pune",Oct 2021,Expired,Petrol,5 Seats,"62,488 Kms",Pune,First Owner,1197 cc,Manual,2021,1197 cc,,81.80 bhp,21.01 kmpl,Petrol,,,2,,,,,,,,
2021 Maruti Swift VXI,₹6.24 Lakh,"Wakad, Pune",Apr 2021,Comprehensive,Petrol,5 Seats,"42,786 Kms",Ratnagiri,First Owner,1197 cc,Manual,2021,1197 cc,,85.8 bhp,18.6 kmpl,Petrol,,,,3850mm,,,,,,,
2018 Ford Ecosport 1.5 Diesel Titanium BSIV,₹7.50 Lakh,"Viman Nagar, Pune",Dec 2018,Expired,Diesel,5 Seats,"67,000 Kms",Thane,First Owner,1498 cc,Manual,2018,1498 cc,200mm,98.96 bhp,23 kmpl,,FWD,,,,,,,,,,
2015 Nissan Terrano XV 110 PS,₹4.99 Lakh,"Devale, Pune",Mar 2015,Third Party,Diesel,5 Seats,"98,300 Kms",Aurangabad,First Owner,1461 cc,Manual,2015,1461 cc,205mm,108.5 bhp,19.01 kmpl,,FWD,5,,,,,,,,,
2019 Maruti Swift ZXI,₹5.50 Lakh,Pune,2019,Expired,Petrol,5 Seats,"60,000 Kms",Pune,First Owner,1197 cc,Manual,2019,1197 cc,,81.80 bhp,21.21 kmpl,Petrol,,,2,,,,,,,,
2015 Mercedes-Benz M-Class ML 250 CDI,₹22 Lakh,"Mundhwa, Pune",Apr 2015,Third Party,Diesel,5 Seats,"1,08,500 Kms",Pune,Second Owner,2143 cc,Automatic,2015,2143 cc,,203.2 bhp,,Diesel,AWD,,,,,210 kmph,,,,,
2013 Hyundai i20 Sportz 1.2,₹3.60 Lakh,"Thathawade, Pune",Sept 2013,Expired,Petrol,5 Seats,"49,222 Kms",Pimpri chinchwad,Second Owner,1197 cc,Manual,2013,1197 cc,,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,
2022 Maruti Swift Dzire ZXI Plus AT BSVI,₹7.75 Lakh,"Dehu Road Cantt, Pune",Aug 2022,Comprehensive,Petrol,5 Seats,"38,570 Kms",Pimpri chinchwad,First Owner,1197 cc,Automatic,2022,,,,,,,,,,,,,,,,
2017 Honda Amaze SX i VTEC,₹4.60 Lakh,"Kothrud, Pune",Apr 2017,Comprehensive,Petrol,5 Seats,"72,000 Kms",Pune,First Owner,1198 cc,Manual,2017,1198 cc,,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,
2022 Tata Tigor EV XZ Plus,₹7.70 Lakh,"Kothrud, Pune",Sept 2022,Comprehensive,Electric,5 Seats,"59,000 Kms",Pune,First Owner,,Automatic,2022,,,73.75 bhp,,,,,,,4 Star,,316 Litres,315 km,26 kWh,59 min | 18kWh (10-80%),9H 24min | 3.3 kW (0-100%)
2019 Honda WR-V i-DTEC VX,₹8.99 Lakh,"Yerwada, Pune",Mar 2019,Comprehensive,Diesel,5 Seats,"72,000 Kms",panvel,First Owner,1498 cc,Manual,2019,1498 cc,188mm,98.6 bhp,25.5 kmpl,,FWD,,,,,,,,,,
2017 Tata Tiago 1.2 Revotron XT,₹4.30 Lakh,"Pashan, Pune",Mar 2017,Expired,Petrol,5 Seats,"80,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2017,1199 cc,,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,
2016 Hyundai i20 Sportz 1.2,₹5 Lakh,"Kothrud, Pune",Dec 2016,Comprehensive,Petrol,5 Seats,"53,000 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2023 Hyundai Grand i10 Nios AMT Asta,₹7.70 Lakh,"Rahatani, Pune",Feb 2023,Comprehensive,Petrol,5 Seats,"23,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Automatic,2023,1197 cc,,81.86 bhp,20.7 kmpl,Petrol,,,2,,,,,,,,
2016 Skoda Superb Style 1.8 TSI MT,₹13 Lakh,"Mundhwa, Pune",Jul 2016,Comprehensive,Petrol,5 Seats,"54,000 Kms",Thane,Second Owner,1798 cc,Manual,2016,1798 cc,,177.46 bhp,14.12 kmpl,Petrol,,,8,,,,,,,,
2020 Maruti Wagon R ZXI 1.2,₹5.20 Lakh,"Kothrud, Pune",Mar 2020,Comprehensive,Petrol,5 Seats,"67,000 Kms",Pune,First Owner,1197 cc,Manual,2020,1197 cc,,81.80 bhp,20.52 kmpl,Petrol,,,2,,,,,,,,
2016 Hyundai Grand i10 Asta Option,₹4.65 Lakh,"Dehu Road Cantt, Pune",Jun 2016,Comprehensive,Petrol,5 Seats,"40,320 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.60 Lakh,"Wakad, Pune",Jul 2018,Comprehensive,Petrol,5 Seats,"47,044 Kms",Pune,Second Owner,1197 cc,Manual,2018,1197 cc,,81.86 bhp,18.9 kmpl,Petrol,,,2,,,,,,,,
2018 Hyundai i20 1.2 Asta Option,₹7.10 Lakh,"Yerwada T.s., Pune",Aug 2018,Expired,Petrol,5 Seats,"52,000 Kms",Pune,First Owner,1197 cc,Manual,2018,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2014 Skoda Rapid 1.6 TDI Ambition Plus Alloy,₹4.45 Lakh,"Viman Nagar, Pune",Aug 2014,Comprehensive,Diesel,5 Seats,"62,000 Kms",Mumbai,First Owner,1598 cc,Manual,2014,1598 cc,,103.5 bhp,20.5 kmpl,Diesel,,,,,,,,,,,
2016 Ford Aspire Titanium Automatic,₹4.99 Lakh,"Kharadi, Pune",Jan 2016,Expired,Petrol,5 Seats,"56,410 Kms",Mumbai,First Owner,1497 cc,Automatic,2016,1497 cc,,121 bhp,16.3 kmpl,Petrol,,,2,,,,,,,,
2011 Maruti SX4 ZXI AT,₹1.70 Lakh,Pune,2011,Expired,Petrol,5 Seats,"1,00,000 Kms",Pimpri chinchwad,Second Owner,1586 cc,Automatic,2011,1586 cc,,103.3 bhp,12.6 kmpl,Petrol,,,,,,,,,,,
2022 Hyundai Alcazar Platinum 7-Seater Diesel BSVI,₹19.50 Lakh,"Yerwada T.s., Pune",Mar 2022,Expired,Diesel,7 Seats,"28,000 Kms",Pimpri chinchwad,First Owner,1493 cc,Manual,2022,1493 cc,,113.98 bhp,20.4 kmpl,Diesel,,7,6,,,,,,,,
2011 Toyota Etios V,₹2.45 Lakh,"Yerwada, Pune",Feb 2011,Expired,Petrol,5 Seats,"65,000 Kms",Mumbai,Second Owner,1496 cc,Manual,2011,1496 cc,,,17.6 kmpl,Petrol,,,,,,,,,,,
2018 Hyundai Santro Sportz CNG,₹4.20 Lakh,"Wakad, Pune",Dec 2018,Comprehensive,CNG,5 Seats,"49,804 Kms",Pimpri chinchwad,Second Owner,1086 cc,Manual,2018,,,,,,,,,,,,,,,,
2014 Nissan Terrano XL 110 PS,₹4.25 Lakh,"Yerwada T.s., Pune",Jul 2014,Expired,Diesel,5 Seats,"1,08,000 Kms",baramati,First Owner,1461 cc,Manual,2014,1461 cc,205mm,108.5 bhp,19.01 kmpl,,FWD,,,,,,,,,,
2017 Skoda Rapid 1.5 TDI AT Ambition BSIV,₹6.50 Lakh,"Rahatani, Pune",Apr 2017,Comprehensive,Diesel,5 Seats,"1,02,000 Kms",panvel,First Owner,1498 cc,Automatic,2017,1498 cc,,108.6 bhp,21.72 kmpl,Diesel,,,2,,,,,,,,
2012 Maruti Swift VDI,₹4.25 Lakh,"Rahatani, Pune",Apr 2012,Comprehensive,Diesel,5 Seats,"1,27,000 Kms",Pune,First Owner,1248 cc,Manual,2012,1248 cc,,74 bhp,22.9 kmpl,Diesel,,,,3850mm,,,,,,,
2018 Maruti Ertiga ZDI Plus,₹10 Lakh,"Kasarwadi, Pune",Jul 2018,Expired,Diesel,7 Seats,"49,165 Kms",Pimpri chinchwad,First Owner,1248 cc,Manual,2018,1248 cc,,88.50 bhp,25.47 kmpl,Diesel,,7,,,,,,,,,
2013 Hyundai i20 Sportz AT 1.4,₹3.35 Lakh,"Kothrud, Pune",Mar 2013,Expired,Petrol,5 Seats,"35,000 Kms",Pune,Second Owner,1396 cc,Automatic,2013,1396 cc,,98.6 bhp,15 kmpl,Petrol,,,,3995mm,,,,,,,
2016 Maruti Baleno Delta Diesel,₹4.89 Lakh,"Hadapsar, Pune",Jan 2016,Comprehensive,Diesel,5 Seats,"53,742 Kms",Pimpri chinchwad,First Owner,1248 cc,Manual,2016,1248 cc,,74 bhp,27.39 kmpl,Diesel,,,2,,,,,,,,
2018 Hyundai Creta 1.6 CRDi AT S Plus,₹10.50 Lakh,"Rahatani, Pune",Jun 2018,Comprehensive,Diesel,5 Seats,"96,000 Kms",Mumbai,First Owner,1582 cc,Automatic,2018,1582 cc,190mm,126.2 bhp,17.01 kmpl,,FWD,5,,,,,,,,,
2010 Volkswagen Polo 1.5 TDI Highline,₹2.51 Lakh,"Hadapsar, Pune",Mar 2010,Comprehensive,Diesel,5 Seats,"59,725 Kms",Pune,Third Owner,1498 cc,Manual,2010,1498 cc,,88 bhp,20.14 kmpl,Diesel,,,,3971mm,,,,,,,
2021 Kia Seltos HTX Plus Diesel,₹15.25 Lakh,"Chinchwadgaon, Pune",May 2021,Comprehensive,Diesel,5 Seats,"75,000 Kms",Pune,First Owner,1493 cc,Manual,2021,1493 cc,,113.43 bhp,20.8 kmpl,Diesel,FWD,5,,,,,,,,,
2022 Hyundai i20 Asta Opt Turbo DCT BSVI,₹9.80 Lakh,"Thergaon, Pune",Mar 2022,Comprehensive,Petrol,5 Seats,"39,000 Kms",Pimpri chinchwad,First Owner,998 cc,Automatic,2022,,,,,,,,,,,,,,,,
2017 Hyundai Creta 1.6 CRDi SX,₹9.50 Lakh,"City, Pune",Jul 2017,Expired,Diesel,5 Seats,"61,505 Kms",Pune,Second Owner,1582 cc,Manual,2017,1582 cc,190mm,126.2 bhp,19.67 kmpl,,FWD,5,,,,,,,,,
2013 Skoda Rapid 1.6 TDI Elegance,₹3.50 Lakh,"Viman Nagar, Pune",Jul 2013,Third Party,Diesel,5 Seats,"75,000 Kms",Mumbai,First Owner,1598 cc,Manual,2013,1598 cc,,103.5 bhp,20.5 kmpl,Diesel,,,,,,,,,,,
2015 Honda Amaze S i-VTEC,₹3.97 Lakh,"Wakad, Pune",Feb 2016,Comprehensive,Petrol,5 Seats,"58,585 Kms",Pune,First Owner,1198 cc,Manual,2015,1198 cc,,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,
2020 Ford Ecosport 1.5 Diesel Trend,₹8.50 Lakh,"Kasarwadi, Pune",Sept 2020,Expired,Diesel,5 Seats,"81,532 Kms",Pune,First Owner,1498 cc,Manual,2020,1498 cc,200mm,98.96 bhp,21.7 kmpl,,FWD,,,,,,,,,,
2014 Maruti Swift VVT VXI,₹4 Lakh,"Kothrud, Pune",Apr 2014,Comprehensive,Petrol,5 Seats,"74,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2014,,,,,,,,,,,,,,,,
2017 Maruti Swift VXI Optional,₹5 Lakh,"Kharadi, Pune",Jun 2017,Comprehensive,Petrol,5 Seats,"61,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2017,1197 cc,,81.80 bhp,20.4 kmpl,Petrol,,,,3840mm,,,,,,,
2017 Ford Ecosport 1.5 Diesel Titanium BSIV,₹6.99 Lakh,"Devale, Pune",May 2017,Comprehensive,Diesel,5 Seats,"90,000 Kms",Pune,First Owner,1498 cc,Manual,2017,1498 cc,200mm,98.96 bhp,23 kmpl,,FWD,,,,,,,,,,
2020 Honda WR-V i-VTEC VX,₹6.99 Lakh,"Pimple Saudagar, Pune",Aug 2020,Third Party,Petrol,5 Seats,"81,000 Kms",Pune,First Owner,1199 cc,Manual,2020,1199 cc,188mm,88.7 bhp,17.5 kmpl,,FWD,,,,,,,,,,
2011 Honda City S,₹2.99 Lakh,"Devale, Pune",Jan 2012,Third Party,Petrol,5 Seats,"58,989 Kms",Navi Mumbai,First Owner,1497 cc,Manual,2011,1497 cc,,116.4 bhp,16.8 kmpl,Petrol,,,,,,,,,,,
2016 Hyundai i20 Sportz 1.2,₹5 Lakh,"Vimannagar, Pune",Jun 2016,Third Party,Petrol,5 Seats,"42,000 Kms",Pune,Second Owner,1197 cc,Manual,2016,,,,,,,,,,,,,,,,
2013 Hyundai i20 Sportz 1.2,₹3.65 Lakh,"Sadashiv Peth, Pune",Sept 2013,Third Party,Petrol,5 Seats,"50,000 Kms",Pimpri chinchwad,Second Owner,1197 cc,Manual,2013,1197 cc,,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,
2006 Maruti Alto 800 LX,₹95 Thousand,Pune,2006,Expired,Petrol,5 Seats,"75,000 Kms",Pune,First Owner,796 cc,Manual,2006,796 cc,,46.3 bhp,19.7 kmpl,Petrol,,,,3495mm,,,,,,,
2015 Hyundai i20 Asta 1.2,₹4.27 Lakh,"Undri, Pune",Dec 2015,Third Party,Petrol,5 Seats,"82,729 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2014 Ford Figo Petrol Titanium,₹1.95 Lakh,Pune,2014,Expired,Petrol,5 Seats,"80,000 Kms",Mumbai,Second Owner,1196 cc,Manual,2014,1196 cc,,70.02 bhp,15.6 kmpl,Petrol,,,,3795mm,,,,,,,
2013 BMW 5 Series 520d Luxury Line,₹12.75 Lakh,"Mundhwa, Pune",Sept 2013,Third Party,Diesel,5 Seats,"75,700 Kms",Thane,Second Owner,1995 cc,Automatic,2013,1995 cc,,190 bhp,,Diesel,RWD,,,,,231 kmph,,,,,
