title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2021 Tata Nexon XZA Plus AMT Diesel BSVI,₹9 Lakh,Pune,2021,Expired,Diesel,5 Seats,"70,000 Kms",Solapur,First Owner,1497 cc,Automatic,2021,1497 cc,209,113.42 bhp,24.07 kmpl,Diesel,,5,,,,,,,,,
2017 Volkswagen Ameo 1.5 TDI Highline,₹5.97 Lakh,"Hadapsar, Pune",Sept 2017,Comprehensive,Diesel,5 Seats,"59,704 Kms",Nashik,First Owner,1498 cc,Manual,2017,1498 cc,,108.62 bhp,21.66 kmpl,Diesel,,,,,,,,,,,
2013 Ford Ecosport 1.5 DV5 MT Trend,₹3.25 Lakh,"Mohamadwadi, Pune",Sept 2013,Expired,Diesel,5 Seats,"1,62,000 Kms",Ahmednagar,Third Owner,1498 cc,Manual,2013,1498 cc,200mm,89.84 bhp,22.7 kmpl,,FWD,,,,,,,,,,
2016 Maruti Wagon R LXI CNG,₹3.75 Lakh,"Pashan, Pune",Mar 2016,Expired,CNG,5 Seats,"66,000 Kms",Pune,Second Owner,998 cc,Manual,2016,998 cc,,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,
2014 Hyundai Xcent Petrol,₹3.63 Lakh,"Hadapsar, Pune",Aug 2014,Comprehensive,Petrol,,"87,363 Kms",Pune,First Owner,,Manual,2014,,,,,Petrol,,,,,,,,,,,
2022 Tata Tiago XZ Plus BSVI,₹5.80 Lakh,Pune,2022,Expired,Petrol,5 Seats,"10,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2022,1199 cc,,84.82 bhp,19.01 kmpl,Petrol,,,2,,,,,,,,
2018 Volkswagen Polo 1.0 MPI Highline Plus,₹5 Lakh,Pune,2018,Expired,Petrol,5 Seats,"40,000 Kms",Jaipur,First Owner,999 cc,Manual,2018,999 cc,,75 bhp,18.78 kmpl,Petrol,,,,3971mm,,,,,,,
2014 Hyundai i20 Sportz 1.2,₹3.95 Lakh,"Bavdhan, Pune",Jan 2014,Comprehensive,Petrol,5 Seats,"38,000 Kms",Pune,Second Owner,1197 cc,Manual,2014,1197 cc,,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,
2024 Toyota Fortuner 4X2 Diesel AT,₹48 Lakh,"Pashan, Pune",Nov 2024,Expired,Diesel,7 Seats,"1,800 Kms",Pune,First Owner,2755 cc,Automatic,2024,2755 cc,,201.15 bhp,14 kmpl,Diesel,2WD,7,,,,,,,,,
2021 Honda Amaze VX i-VTEC,₹7.89 Lakh,"Wakad, Pune",Oct 2021,Comprehensive,Petrol,5 Seats,"24,205 Kms",Pune,First Owner,1198 cc,Manual,2021,1198 cc,,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,
2017 Jaguar XE 2.0L Diesel Pure,₹24.24 Lakh,"Infotech Park, Pune",Mar 2018,Comprehensive,Diesel,5 Seats,"29,665 Kms",Mumbai,First Owner,1999 cc,Automatic,2017,,,,,,,,,,,,,,,,
2018 Maruti Wagon R VXI AMT,₹3.65 Lakh,"Kothrud, Pune",Aug 2018,Expired,Petrol,5 Seats,"69,000 Kms",Pune,First Owner,998 cc,Automatic,2018,998 cc,,67.05 bhp,21.79 kmpl,Petrol,,,1,,,,,,,,
2018 Maruti Celerio VXI Optional AMT BSIV,₹4.49 Lakh,"Rahatani, Pune",Dec 2018,Comprehensive,Petrol,5 Seats,"82,000 Kms",Pimpri chinchwad,First Owner,998 cc,Automatic,2018,998 cc,,67.04 bhp,23.1 kmpl,Petrol,,,2,,,,,,,,
2018 Tata Nexon 1.2 Revotron XMA,₹6.65 Lakh,"Wakad, Pune",Aug 2018,Comprehensive,Petrol,5 Seats,"68,758 Kms",Pune,First Owner,1198 cc,Automatic,2018,1198 cc,,108.5 bhp,17 kmpl,Petrol,FWD,,,,,,,,,,
2014 BMW 1 Series 116i,₹9.90 Lakh,"Baner, Pune",Feb 2014,Expired,Petrol,5 Seats,"69,000 Kms",Pune,Third Owner,1598 cc,Automatic,2014,1598 cc,,136 bhp,,Petrol,RWD,5,,,,212 kmph,,,,,
2015 Maruti Ritz VXi,₹3.81 Lakh,"Shaniwar Peth, Pune",Jan 2016,Third Party,Petrol,5 Seats,"38,200 Kms",Pune,First Owner,1197 cc,Manual,2015,1197 cc,,85.80 bhp,18.5 kmpl,Petrol,,,,3775mm,,,,,,,
2012 Maruti Swift VXI,₹3.63 Lakh,"Warje, Pune",Mar 2012,Comprehensive,Petrol,5 Seats,"61,500 Kms",Pune,First Owner,1197 cc,Manual,2012,1197 cc,,85.8 bhp,18.6 kmpl,Petrol,,,,3850mm,,,,,,,
2014 Volkswagen Polo 1.2 MPI Highline,₹4.60 Lakh,"Shaniwar Peth, Pune",May 2014,Third Party,Petrol,5 Seats,"42,000 Kms",Pune,First Owner,1198 cc,Manual,2014,1198 cc,,74 bhp,16.47 kmpl,Petrol,,,,3971mm,,,,,,,
2013 Volkswagen Polo Petrol Highline 1.2L,₹3.25 Lakh,"Wakad, Pune",Feb 2013,Third Party,Petrol,5 Seats,"66,000 Kms",Mumbai,Second Owner,1198 cc,Manual,2013,1198 cc,,73.9 bhp,16.47 kmpl,Petrol,,,,3970mm,,,,,,,
2021 Hyundai Verna SX,₹9 Lakh,Pune,2021,Expired,Petrol,5 Seats,"40,000 Kms",Pune,First Owner,1497 cc,Manual,2021,,,,,,,,,,,,,,,,
