title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2020 Hyundai Venue SX Turbo BSIV,₹8 Lakh,"Ganapathipuram, Chennai",May 2020,Expired,Petrol,5 Seats,"69,448 Kms",Poonamallee,First Owner,998 cc,Manual,2020,998 cc,118.35 bhp,,FWD,18.27 kmpl,Petrol,,,,,,,,,,,
2018 Maruti Swift Dzire ZDI Plus,₹6.40 Lakh,"Ganapathipuram, Chennai",May 2018,Zero Dep,Diesel,5 Seats,"95,034 Kms",Chennai,First Owner,1248 cc,Manual,2018,1248 cc,74.02 bhp,,,28.4 kmpl,Diesel,2,,,,,,,,,,
2022 MG Gloster Savvy 4x4 6Str,₹38.75 Lakh,"Thygaraya Nagar, Chennai",Oct 2022,Comprehensive,Diesel,6 Seats,"4,000 Kms",Chennai,First Owner,1996 cc,Automatic,2022,1996 cc,212.55 bhp,"6, 7",4WD,10 kmpl,Diesel,,,,,,,,,,,
2019 Maruti Baleno Alpha Diesel,₹6.59 Lakh,"Airport, Chennai",Aug 2019,Comprehensive,Diesel,5 Seats,"46,877 Kms",Chennai,First Owner,1248 cc,Manual,2019,1248 cc,74 bhp,,,27.39 kmpl,Diesel,2,,,,,,,,,,
2015 Mercedes-Benz E-Class AMG E63 S,₹17 Lakh,"Thygaraya Nagar, Chennai",Aug 2015,Comprehensive,Petrol,5 Seats,"88,000 Kms",Sulur,First Owner,3982 cc,Automatic,2015,3982 cc,603.46 bhp,,AWD,,Petrol,,,,250 kmph,,,,,,,
2018 Maruti Swift Dzire AMT ZXI,₹5.84 Lakh,"Ganapathipuram, Chennai",Feb 2018,Comprehensive,Petrol,5 Seats,"47,734 Kms",Poonamallee,First Owner,1197 cc,Automatic,2018,1197 cc,81.80 bhp,,,21.21 kmpl,Petrol,2,,,,,,,,,,
2019 Maruti Swift VDI,₹5.78 Lakh,"Ganapathipuram, Chennai",Mar 2020,Comprehensive,Diesel,5 Seats,"74,460 Kms",Madurai,Second Owner,1248 cc,Manual,2019,1248 cc,74 bhp,,,28.4 kmpl,Diesel,2,,,,,,,,,,
2014 Maruti Celerio VXI,₹3.45 Lakh,"Vadapalani, Chennai",Oct 2014,Comprehensive,Petrol,5 Seats,"64,572 Kms",Chennai,Second Owner,998 cc,Manual,2014,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,,3715mm,,,,,,,,,
2016 Volkswagen Ameo 1.5 TDI Comfortline,₹6.05 Lakh,"Ganapathipuram, Chennai",Nov 2016,Comprehensive,Diesel,5 Seats,"63,162 Kms",Ranipet,First Owner,1498 cc,Manual,2016,1498 cc,108.62 bhp,,,21.66 kmpl,Diesel,2,,,,,,,,,,
2017 Hyundai i20 Asta 1.2,₹5.90 Lakh,"Ganapathipuram, Chennai",Aug 2017,Comprehensive,Petrol,5 Seats,"31,000 Kms",Chennai,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz Option,₹5 Lakh,"Thiruverkadu, Chennai",2018,Expired,Petrol,5 Seats,"40,000 Kms",Chennai,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,,3765mm,,,,,,,,,
2013 Chevrolet Beat LS,₹1.40 Lakh,Chennai,2013,Expired,Petrol,5 Seats,"50,000 Kms",Chennai,Second Owner,1199 cc,Manual,2013,1199 cc,79.4 bhp,,,18.6 kmpl,Petrol,,3640mm,,,,,,,,,
2017 Mahindra XUV500 AT W10 AWD,₹12.30 Lakh,"Ashoknagar, Chennai",Jul 2017,Comprehensive,Diesel,7 Seats,"80,000 Kms",Chennai,First Owner,2179 cc,Automatic,2017,2179 cc,140 bhp,7,AWD,16 kmpl,,,,200mm,,,,,,,,
2018 Land Rover Range Rover Sport SE,₹95 Lakh,"Kottivakkam, Chennai",Mar 2019,Comprehensive,Diesel,5 Seats,"29,001 Kms",Coimbatore,First Owner,2993 cc,Automatic,2018,2993 cc,255 bhp,,4WD,,Diesel,,,,222 kmph,,,,,,,
2012 Maruti Swift Dzire VXI,₹3.19 Lakh,"Vadapalani, Chennai",Aug 2012,Comprehensive,Petrol,5 Seats,"83,925 Kms",Chennai,Third Owner,1197 cc,Manual,2012,1197 cc,83.14 bhp,,,20.85 kmpl,Petrol,,,,,,,,,,,
2018 Renault KWID 1.0 RXT Optional,₹3.22 Lakh,"Thiruverkadu, Chennai",Jan 2019,Comprehensive,Petrol,5 Seats,"50,242 Kms",red hills,Second Owner,999 cc,Manual,2018,999 cc,67 bhp,,,23.01 kmpl,Petrol,1,,,,,,,,,,
2024 Renault Kiger RXT AMT Opt,₹9.15 Lakh,Chennai,2024,Expired,Petrol,5 Seats,"10,000 Kms",Chennai,First Owner,999 cc,Automatic,2024,999 cc,71 bhp,,FWD,19.03 kmpl,,,,205 mm,,,,,,,,
2014 Honda City i DTEC VX,₹6 Lakh,Chennai,2014,Expired,Diesel,5 Seats,"80,000 Kms",Kanchipuram,Second Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,,,25.1 kmpl,Diesel,,,,,,,,,,,
2023 Jeep Compass 2.0 Model S Opt,₹32 Lakh,Chennai,2023,Expired,Diesel,5 Seats,"10,000 Kms",Chennai,First Owner,1956 cc,Manual,2023,1956 cc,168 bhp,5,FWD,17.1 kmpl,Diesel,,,,,,,,,,,5 Star
2015 Hyundai EON Era,₹3.14 Lakh,"Vadapalani, Chennai",Jan 2016,Comprehensive,Petrol,5 Seats,"30,273 Kms",Chennai,First Owner,814 cc,Manual,2015,814 cc,55.2 bhp,,,21.1 kmpl,Petrol,,3495mm,,,,,,,,,
2023 Tata Tiago NRG XZA AMT,₹7.50 Lakh,Chennai,2023,Expired,Petrol,5 Seats,"10,000 Kms",Chennai,First Owner,1199 cc,Automatic,2023,1199 cc,84.82 bhp,,,20.09 kmpl,Petrol,,,,,,,,,,242 Litres,
2019 Hyundai Creta 1.6 SX Automatic,₹9.05 Lakh,"Vadapalani, Chennai",Nov 2019,Comprehensive,Petrol,5 Seats,"86,101 Kms",Kanchipuram,First Owner,1591 cc,Automatic,2019,1591 cc,121.3 bhp,5,FWD,14.8 kmpl,Petrol,,,,,,,,,,,
2014 Honda Amaze VX i-VTEC,₹4.11 Lakh,"Vadapalani, Chennai",Jul 2014,Comprehensive,Petrol,5 Seats,"89,665 Kms",Chennai,First Owner,1198 cc,Manual,2014,,,,,,,,,,,,,,,,,
2011 Toyota Innova 2.5 V Diesel 7-seater,₹9.50 Lakh,Chennai,2011,Expired,Diesel,7 Seats,"1,60,000 Kms",Chennai,Second Owner,2494 cc,Manual,2011,2494 cc,,8,,,Diesel,,,,,,,,,,,
2019 Maruti Vitara Brezza ZDi AMT,₹8.50 Lakh,"Ashoknagar, Chennai",Feb 2019,Comprehensive,Diesel,5 Seats,"90,000 Kms",Chennai,First Owner,1248 cc,Automatic,2019,1248 cc,88.5 bhp,,FWD,24.3 kmpl,,,,198mm,,,,,,,,
2021 MG Hector Sharp AT BSIV,₹14.95 Lakh,"Anna Nagar, Chennai",Oct 2021,Comprehensive,Petrol,5 Seats,"40,000 Kms",Chennai,First Owner,1451 cc,Automatic,2021,1451 cc,141 bhp,5,FWD,13.96 kmpl,Petrol,,,,,,,,,,,
2022 Maruti Swift VXI BSVI,₹6.90 Lakh,"Kovilambakkam, Chennai",Aug 2022,Comprehensive,Petrol,5 Seats,"24,000 Kms",Chennai,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,,,22.38 kmpl,Petrol,2,,,,,,,,,,
2020 Jeep Compass 2.0 Longitude Option AT,₹14 Lakh,Chennai,2020,Expired,Diesel,5 Seats,"40,000 Kms",Chennai,Second Owner,1956 cc,Automatic,2020,1956 cc,170 bhp,5,4X4,17.1 kmpl,,,,178mm,,,,,,,,
2006 Hyundai Accent VIVA CRDi,₹50 Thousand,Chennai,2006,Expired,Diesel,5 Seats,"1,00,000 Kms",Chennai,Second Owner,1493 cc,Manual,2006,1493 cc,,,,13.1 kmpl,Diesel,,,,,,,,,,,
2023 Maruti Wagon R ZXI Plus AT Dual tone BSVI,₹6.75 Lakh,Chennai,2023,Expired,Petrol,5 Seats,"30,000 Kms",Chennai,First Owner,1197 cc,Automatic,2023,1197 cc,88.50 bhp,,,24.43 kmpl,Petrol,2,,,,,,,,,,
2014 Volkswagen Polo Diesel Comfortline 1.2L,₹3.95 Lakh,"Airport, Chennai",Jun 2014,Comprehensive,Diesel,5 Seats,"61,656 Kms",Chennai,Second Owner,1199 cc,Manual,2014,1199 cc,73.9 bhp,,,22.07 kmpl,Diesel,,3970mm,,,,,,,,,
2021 Hyundai Creta E Diesel BSVI,₹11.60 Lakh,"Anna Nagar, Chennai",Feb 2021,Comprehensive,Diesel,5 Seats,"82,000 Kms",Chengalpattu,First Owner,1493 cc,Manual,2021,1493 cc,113.98 bhp,,,,Diesel,6,,,,,,,,,,
2021 Kia Sonet HTX Diesel BSVI,₹10.95 Lakh,"Medavakkam, Chennai",Jun 2021,Comprehensive,Diesel,5 Seats,"18,000 Kms",Chennai,First Owner,1493 cc,Manual,2021,1493 cc,98.63 bhp,5,FWD,18.4 kmpl,Diesel,,,,,,,,,,,
2018 Hyundai Verna VTVT 1.6 SX,₹7.11 Lakh,"Anna Nagar West Extension, Chennai",Sept 2018,Expired,Petrol,5 Seats,"62,731 Kms",Chennai,Second Owner,1591 cc,Manual,2018,1591 cc,121.3 bhp,,,17 kmpl,Petrol,2,,,,,,,,,,
2010 Hyundai i10 Sportz 1.2 AT,₹2.60 Lakh,"Thiruverkadu, Chennai",May 2010,Expired,Petrol,5 Seats,"70,819 Kms",Chennai,Second Owner,1197 cc,Automatic,2010,1197 cc,78.9 bhp,,,16.95 kmpl,Petrol,,3585mm,,,,,,,,,
2014 Audi A6 2.0 TDI,₹11.90 Lakh,"Anna Nagar, Chennai",Mar 2015,Comprehensive,Diesel,5 Seats,"75,284 Kms",Pondicherry,Second Owner,1968 cc,Automatic,2014,1968 cc,174.33 bhp,5,FWD,,Diesel,,,,222 kmph,,,,,,,
2021 Hyundai i20 Sportz IVT DT,₹7.09 Lakh,"Anna Nagar West Extension, Chennai",Mar 2021,Zero Dep,Petrol,5 Seats,"45,528 Kms",red hills,First Owner,1197 cc,Automatic,2021,1197 cc,86.80 bhp,,,19.65 kmpl,Petrol,2,,,,,,,,,,
2022 Maruti Swift VXI BSVI,₹6.75 Lakh,"Anna Nagar West Extension, Chennai",Jan 2023,Comprehensive,Petrol,5 Seats,"5,600 Kms",Chennai,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,,,22.38 kmpl,Petrol,2,,,,,,,,,,
2016 Land Rover Discovery Sport SD4 HSE Luxury,₹26.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2016,Comprehensive,Diesel,5 Seats,"75,000 Kms",Chennai,First Owner,2179 cc,Automatic,2016,2179 cc,187.7 bhp,,4WD,,Diesel,,,,188 kmph,,,,,,,
2006 Hyundai Santro Xing XO eRLX Euro II,₹1.85 Lakh,"Ganapathipuram, Chennai",Nov 2006,Expired,Petrol,5 Seats,"72,110 Kms",Chennai,First Owner,1086 cc,Manual,2006,1086 cc,,,,17 kmpl,Petrol,,,,,,,,,,,
2018 Maruti Baleno 1.2 CVT Delta,₹5.06 Lakh,"Thiruverkadu, Chennai",Apr 2018,Comprehensive,Petrol,5 Seats,"73,375 Kms",Chennai,Second Owner,1197 cc,Automatic,2018,1197 cc,83.1 bhp,,,21.4 kmpl,Petrol,,3995mm,,,,,,,,,
2011 Ford Fiesta 1.4 SXI Duratorq,₹2.65 Lakh,"Thiruverkadu, Chennai",Apr 2011,Comprehensive,Diesel,5 Seats,"82,000 Kms",Chengalpattu,First Owner,1399 cc,Manual,2011,1399 cc,67 bhp,,,17.8 kmpl,Diesel,,,,,,,,,,,
2023 Maruti Baleno Alpha BSVI,₹8.56 Lakh,"Medavakkam, Chennai",Jun 2023,Third Party,Petrol,5 Seats,"14,428 Kms",Chennai,First Owner,1197 cc,Manual,2023,1197 cc,88.50 bhp,,,22.35 kmpl,Petrol,6,,,,,,,,,,
2024 Maruti Grand Vitara Sigma,₹11.90 Lakh,"Anna Nagar, Chennai",Feb 2024,Comprehensive,Petrol,5 Seats,"8,800 Kms",Chennai,First Owner,1462 cc,Manual,2024,1462 cc,101.64 bhp,,FWD,21.11 kmpl,,,,210 mm,,,,,,,,
2017 Maruti S Cross Delta DDiS 200 SH,₹6.90 Lakh,"Anna Nagar West Extension, Chennai",Feb 2018,Comprehensive,Diesel,5 Seats,"83,500 Kms",Chennai,First Owner,1248 cc,Manual,2017,1248 cc,88.5 bhp,,FWD,25.1 kmpl,,,,180mm,,,,,,,,
2017 Mercedes-Benz GLA Class 200 CDI,₹21.90 Lakh,"Thygaraya Nagar, Chennai",Aug 2018,Comprehensive,Diesel,5 Seats,"60,889 Kms",Coimbatore,First Owner,2143 cc,Automatic,2017,2143 cc,136 bhp,5,AWD,,Diesel,,,,205 kmph,,,,,,,
2020 Hyundai i20 Asta Opt Turbo DCT,₹8.60 Lakh,"Medavakkam, Chennai",Aug 2020,Comprehensive,Petrol,5 Seats,"30,000 Kms",Chennai,First Owner,998 cc,Automatic,2020,998 cc,118.41 bhp,,,20.28 kmpl,Petrol,6,,,,,,,,,,3 Star
2019 Hyundai Verna VTVT 1.4 E,₹7.65 Lakh,"Medavakkam, Chennai",Jun 2019,Comprehensive,Petrol,5 Seats,"69,000 Kms",Poonamallee,First Owner,1368 cc,Manual,2019,1368 cc,98.6 bhp,,,19.1 kmpl,Petrol,2,,,,,,,,,,
2022 Renault Triber RXZ EASY-R AMT BSVI,₹6.91 Lakh,"Anna Nagar West Extension, Chennai",Oct 2022,Expired,Petrol,7 Seats,"26,436 Kms",Chennai,First Owner,999 cc,Automatic,2022,999 cc,71.01 bhp,7,,18.2 kmpl,Petrol,,,,,,,,,,,
2017 Audi Q7 40 TFSI Quattro,₹38.50 Lakh,"Paltra, Gurgaon",Dec 2017,Expired,Petrol,7 Seats,"59,600 Kms",Indore,Second Owner,1984 cc,Automatic,2017,1984 cc,248 bhp,7,AWD,13.55 kmpl,,,,205 mm,,,,,,,,
2019 Maruti Ertiga VXI AT,₹9.25 Lakh,"Medavakkam, Chennai",May 2019,Expired,Petrol,7 Seats,"16,400 Kms",Chennai,First Owner,1462 cc,Automatic,2019,1462 cc,103.26 bhp,7,,17.99 kmpl,Petrol,,,,,,,,,,,
2021 Hyundai Creta SX BSVI,₹10.40 Lakh,"Medavakkam, Chennai",Jan 2021,Zero Dep,Petrol,5 Seats,"83,115 Kms",Chennai,Second Owner,1497 cc,Manual,2021,1497 cc,113.18 bhp,5,,14 kmpl,Petrol,6,,,,,,,,,,
2019 Hyundai Verna VTVT 1.6 SX,₹7.53 Lakh,"Medavakkam, Chennai",Mar 2019,Comprehensive,Petrol,5 Seats,"35,846 Kms",Chennai,Second Owner,1591 cc,Manual,2019,1591 cc,121.3 bhp,,,17 kmpl,Petrol,2,,,,,,,,,,
2012 Maruti Swift AMT ZXI,₹3.85 Lakh,"Airport, Chennai",Aug 2013,Comprehensive,Petrol,5 Seats,"1,22,346 Kms",Chennai,First Owner,1197 cc,Automatic,2012,1197 cc,81.80 bhp,,,21.21 kmpl,Petrol,2,,,,,,,,,,
2014 Volvo XC 90 D5 AT AWD,₹16.50 Lakh,"Thygaraya Nagar, Chennai",Sept 2014,Comprehensive,Diesel,7 Seats,"95,000 Kms",Chennai,First Owner,2400 cc,Automatic,2014,2400 cc,200 bhp,,AWD,,Diesel,,,,205km/hr kmph,,,,,,,
2016 Renault KWID RXT,₹2.71 Lakh,"Thiruverkadu, Chennai",May 2016,Expired,Petrol,5 Seats,"67,713 Kms",Chennai,Second Owner,799 cc,Manual,2016,799 cc,53.3 bhp,,,25.17 kmpl,Petrol,,3679mm,,,,,,,,,
2015 Maruti Celerio VXI AT,₹3.55 Lakh,"Vadapalani, Chennai",Dec 2015,Comprehensive,Petrol,5 Seats,"55,000 Kms",Chennai,First Owner,998 cc,Automatic,2015,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,,3715mm,,,,,,,,,
2017 Maruti Alto 800 LXI Optional,₹2.77 Lakh,"Vadapalani, Chennai",Sept 2017,Comprehensive,Petrol,5 Seats,"30,248 Kms",Chennai,First Owner,796 cc,Manual,2017,796 cc,47.3 bhp,,,24.7 kmpl,Petrol,,3430mm,,,,,,,,,
2018 Honda WR-V i-DTEC VX,₹6.80 Lakh,"Anna Nagar West Extension, Chennai",Dec 2018,Expired,Diesel,5 Seats,"1,13,579 Kms",red hills,First Owner,1498 cc,Manual,2018,1498 cc,98.6 bhp,,FWD,25.5 kmpl,,,,188mm,,,,,,,,
2003 Maruti 800 AC,₹28.50 Thousand,Chennai,2003,Expired,Petrol,4 Seats,"1,20,000 Kms",,Second Owner,796 cc,Manual,2003,796 cc,37 bhp,,,16.1 kmpl,Petrol,,3335mm,,,,,,,,,
2019 Hyundai Santro Sportz,₹4.11 Lakh,"Airport, Chennai",Jan 2020,Comprehensive,Petrol,5 Seats,"68,420 Kms",Chengalpattu,First Owner,1086 cc,Manual,2019,1086 cc,68.05 bhp,,,20.3 kmpl,Petrol,2,,,,,,,,,,
2019 Kia Seltos HTX Plus AT D,₹11.50 Lakh,Chennai,2019,Expired,Diesel,5 Seats,"1,20,000 Kms",Chennai,First Owner,1493 cc,Automatic,2019,1493 cc,113.4 bhp,5,2WD,17.8 kmpl,Diesel,,,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹4.32 Lakh,"Vadapalani, Chennai",Nov 2018,Comprehensive,Petrol,5 Seats,"48,624 Kms",Chennai,Second Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2021 Hyundai Grand i10 Nios AMT Sportz,₹5 Lakh,Chennai,2021,Expired,Petrol,5 Seats,"20,000 Kms",Viluppuram,Third Owner,1197 cc,Automatic,2021,1197 cc,81.86 bhp,,,20.7 kmpl,Petrol,2,,,,,,,,,,
2019 Volkswagen Vento 1.2 TSI Highline AT,₹7.90 Lakh,"Anna Nagar, Chennai",Dec 2019,Comprehensive,Petrol,5 Seats,"63,000 Kms",Chennai,First Owner,1197 cc,Automatic,2019,1197 cc,103.2 bhp,,,18.19 kmpl,Petrol,,,,,,,,,,,
2011 Hyundai Verna 1.6 SX CRDi (O),₹3.50 Lakh,Chennai,2011,Expired,Diesel,5 Seats,"1,50,000 Kms",Chennai,Second Owner,1582 cc,Manual,2011,1582 cc,126.32 bhp,,,22.32 kmpl,Diesel,,,,,,,,,,,
2015 Honda City i DTEC SV,₹5.60 Lakh,"Chromepet, Chennai",Nov 2015,Comprehensive,Diesel,5 Seats,"89,400 Kms",Chennai,First Owner,1498 cc,Manual,2015,1498 cc,98.6 bhp,,,26 kmpl,Diesel,,,,,,,,,,,
2010 Maruti Swift Dzire VXi,₹2.50 Lakh,Chennai,2010,Expired,Petrol,5 Seats,"80,000 Kms",Chennai,Third Owner,1298 cc,Manual,2010,1298 cc,85.8 bhp,,,17.5 kmpl,Petrol,,,,,,,,,,,
2020 Maruti Wagon R ZXI 1.2,₹5.29 Lakh,"Koyambedu, Chennai",Jul 2020,Comprehensive,Petrol,5 Seats,"63,000 Kms",Chennai,First Owner,1197 cc,Manual,2020,1197 cc,81.80 bhp,,,20.52 kmpl,Petrol,2,,,,,,,,,,
2021 Volkswagen Taigun 1.0 TSI Highline BSVI,₹9.54 Lakh,"Thiruverkadu, Chennai",Dec 2021,Zero Dep,Petrol,5 Seats,"23,922 Kms",Chennai,First Owner,999 cc,Manual,2021,999 cc,113.98 bhp,5,,20.08 kmpl,Petrol,,,188,,,,,,,,
2023 Mahindra Marazzo M2 BSVI,₹14 Lakh,Chennai,2023,Expired,Diesel,7 Seats,"60,000 Kms",Chennai,First Owner,1497 cc,Manual,2023,1497 cc,120.96 bhp,8,,,Diesel,2,,,,,,,,,,
2019 Hyundai Verna VTVT 1.6 AT SX Plus,₹7.43 Lakh,"Ganapathipuram, Chennai",Mar 2019,Zero Dep,Petrol,5 Seats,"70,231 Kms",Chennai,Second Owner,1591 cc,Automatic,2019,,,,,,,,,,,,,,,,,
2019 Maruti Swift AMT ZXI Plus,₹6.85 Lakh,"Vadapalani, Chennai",Jul 2019,Comprehensive,Petrol,5 Seats,"25,826 Kms",Chennai,First Owner,1197 cc,Automatic,2019,1197 cc,81.80 bhp,,,21.21 kmpl,Petrol,2,,,,,,,,,,
2017 Hyundai i20 Active 1.2 SX,₹5.95 Lakh,"Vadapalani, Chennai",Feb 2017,Comprehensive,Petrol,5 Seats,"78,043 Kms",Chennai,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,,,17.19 kmpl,Petrol,,3995mm,,,,,,,,,
2018 Renault KWID Climber 1.0 MT,₹3.73 Lakh,"Airport, Chennai",Jul 2018,Comprehensive,Petrol,5 Seats,"51,458 Kms",Chennai,Second Owner,999 cc,Manual,2018,999 cc,67 bhp,,,23.01 kmpl,Petrol,1,,,,,,,,,,
2019 Renault Duster RXZ 110PS AMT BSIV,₹9.70 Lakh,"Anna Nagar, Chennai",Aug 2019,Comprehensive,Diesel,5 Seats,"60,000 Kms",Chennai,First Owner,1461 cc,Automatic,2019,1461 cc,108.5 bhp,5,FWD,19.87 kmpl,Diesel,,,,,,,,,,,
2014 Audi A4 2.0 TDI Premium Plus,₹8.90 Lakh,"Paltra, Gurgaon",Feb 2015,Expired,Diesel,5 Seats,"68,000 Kms",Gurgaon,First Owner,1968 cc,Automatic,2014,1968 cc,174.33 bhp,,,17.11 kmpl,Diesel,,,,,,,,,,,
2022 Kia Seltos GTX Plus DCT,₹15.90 Lakh,"Thygaraya Nagar, Chennai",Jun 2022,Comprehensive,Petrol,5 Seats,"30,000 Kms",Chennai,First Owner,1353 cc,Automatic,2022,1353 cc,138.08 bhp,5,FWD,16.5 kmpl,Petrol,,,,,,,,,,,
2013 Maruti Ertiga VXI ABS,₹5.75 Lakh,Chennai,2013,Expired,Petrol,7 Seats,"60,000 Kms",red hills,First Owner,1373 cc,Manual,2013,1373 cc,93.7 bhp,7,,16.02 kmpl,Petrol,,,,,,,,,,,
2018 Datsun RediGO AMT 1.0 T Option,₹3.22 Lakh,"Ganapathipuram, Chennai",May 2018,Comprehensive,Petrol,5 Seats,"29,893 Kms",Pudukkottai,First Owner,999 cc,Automatic,2018,999 cc,67 bhp,,,22.5 kmpl,Petrol,,3429mm,,,,,,,,,
2018 Maruti Vitara Brezza ZDi Plus AMT,₹8.50 Lakh,"Ashoknagar, Chennai",Jul 2019,Comprehensive,Diesel,5 Seats,"88,000 Kms",Chennai,First Owner,1248 cc,Automatic,2018,1248 cc,88.5 bhp,,FWD,24.3 kmpl,,,,198mm,,,,,,,,
2020 Tata Altroz XZ Diesel BSVI,₹6.07 Lakh,"Vadapalani, Chennai",Feb 2020,Comprehensive,Diesel,5 Seats,"30,574 Kms",Chennai,First Owner,1497 cc,Manual,2020,1497 cc,88.77 bhp,,,23.64 kmpl,Diesel,2,,,,,,,,,,
2020 Kia Seltos GTX Plus,₹11.85 Lakh,"Vadapalani, Chennai",Jan 2021,Comprehensive,Petrol,5 Seats,"44,920 Kms",Chennai,First Owner,1353 cc,Manual,2020,1353 cc,138.08 bhp,5,FWD,16.5 kmpl,Petrol,,,,,,,,,,,
2015 Toyota Corolla Altis 1.8 VL AT,₹8.25 Lakh,"Thygaraya Nagar, Chennai",Sept 2015,Comprehensive,Petrol,5 Seats,"85,000 Kms",Chennai,Second Owner,1794 cc,Automatic,2015,1794 cc,138.1 bhp,,,14.53 kmpl,Petrol,,,,,,,,,,,
2021 Maruti Dzire ZXI Plus,₹7.42 Lakh,"Vadapalani, Chennai",Apr 2021,Comprehensive,Petrol,5 Seats,"31,585 Kms",Vellore,First Owner,1197 cc,Manual,2021,1197 cc,80 bhp,,,24.79 kmpl,Petrol,,,,,,,,,,382 Litres,5 Star
2005 Honda New Accord VTi-L MT,₹85 Thousand,Chennai,2005,Expired,Petrol,5 Seats,"1,00,000 Kms",New Delhi,Third Owner,2354 cc,Manual,2005,2354 cc,,,,11.9 kmpl,Petrol,,,,,,,,,,,
2020 Maruti Celerio ZXI Optional,₹5.25 Lakh,"Anna Nagar, Chennai",Oct 2020,Comprehensive,Petrol,5 Seats,"26,001 Kms",Chennai,First Owner,998 cc,Manual,2020,998 cc,67.05 bhp,,,21.63 kmpl,Petrol,2,,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT,₹5 Lakh,"Thiruverkadu, Chennai",Feb 2018,Comprehensive,Petrol,5 Seats,"18,106 Kms",Chennai,First Owner,1197 cc,Automatic,2018,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2016 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,₹4.80 Lakh,"Ganapathipuram, Chennai",May 2016,Comprehensive,Petrol,5 Seats,"77,028 Kms",Chennai,First Owner,1497 cc,Manual,2016,1497 cc,121.36 bhp,,FWD,17 kmpl,,,,200mm,,,,,,,,
2009 Audi A6 3.0 TFSI quattro,₹12 Lakh,"Kottivakkam, Chennai",Jul 2009,Comprehensive,Petrol,5 Seats,"92,000 Kms",Chennai,First Owner,2995 cc,Automatic,2009,2995 cc,294.9 bhp,5,AWD,,Petrol,,,,250km/hr kmph,,,,,,,
2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,₹5.27 Lakh,"Thiruverkadu, Chennai",Jun 2016,Comprehensive,Petrol,5 Seats,"25,653 Kms",Chennai,Second Owner,1499 cc,Automatic,2016,1499 cc,110.4 bhp,,FWD,15.63 kmpl,,,,200mm,,,,,,,,
2022 Maruti Swift VXI AMT BSVI,₹7.40 Lakh,Chennai,2022,Expired,Petrol,5 Seats,"40,000 Kms",Prakasam,First Owner,1197 cc,Automatic,2022,1197 cc,88.50 bhp,,,22.56 kmpl,Petrol,2,,,,,,,,,,
2021 Hyundai i20 Sportz IVT BSVI,₹8.25 Lakh,"Kovilambakkam, Chennai",Sept 2021,Comprehensive,Petrol,5 Seats,"29,000 Kms",Chennai,First Owner,1197 cc,Automatic,2021,1197 cc,86.76 bhp,,,19.65 kmpl,Petrol,2,,,,,,,,,,
2020 Kia Sonet GTX Plus Turbo DCT DT,₹9.71 Lakh,"Vadapalani, Chennai",Dec 2020,Comprehensive,Petrol,5 Seats,"65,655 Kms",Chennai,First Owner,998 cc,Automatic,2020,998 cc,118.36 bhp,5,FWD,18.3 kmpl,Petrol,,,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz Option AT,₹4.86 Lakh,"Thiruverkadu, Chennai",May 2019,Expired,Petrol,5 Seats,"74,366 Kms",hosur,First Owner,1197 cc,Automatic,2019,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2019 Datsun RediGO 1.0 S,₹2.74 Lakh,"Vadapalani, Chennai",Feb 2020,Comprehensive,Petrol,5 Seats,"1,10,767 Kms",kumbakonam,First Owner,999 cc,Manual,2019,999 cc,67 bhp,,,22.5 kmpl,Petrol,1,,,,,,,,,,
2018 Nissan Micra XV,₹4.62 Lakh,"Ganapathipuram, Chennai",May 2019,Comprehensive,Petrol,5 Seats,"62,090 Kms",Poonamallee,First Owner,1198 cc,Manual,2018,1198 cc,75 bhp,,,18.06 kmpl,Petrol,,3780mm,,,,,,,,,
