title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2023 Tata Altroz XE BSVI,₹5.75 Lakh,"Kovilambakkam, Chennai",Aug 2023,Comprehensive,Petrol,5 Seats,"9,000 Kms",Chennai,First Owner,1199 cc,Manual,2023,1199 cc,86.83 bhp,,,19.33 kmpl,Petrol,2,,,,,,,,,,
2013 Maruti Swift Dzire VXI,₹3.60 Lakh,Chennai,2013,Expired,Petrol,5 Seats,"50,000 Kms",Chennai,Third Owner,1197 cc,Manual,2013,1197 cc,85.8 bhp,,,19.1 kmpl,Petrol,,,,,,,,,,,
2018 Maruti Ertiga SHVS ZDI,₹11.50 Lakh,"Thygaraya Nagar, Chennai",Jan 2019,Comprehensive,Diesel,7 Seats,"24,000 Kms",Chennai,First Owner,1248 cc,Manual,2018,1248 cc,88.5 bhp,7,,24.52 kmpl,Diesel,,,,,,,,,,,
2018 Honda City VX MT,₹8.68 Lakh,"Vadapalani, Chennai",Dec 2018,Comprehensive,Petrol,5 Seats,"28,036 Kms",Chennai,First Owner,1498 cc,Manual,2018,,,,,,,,,,,,,,,,,
2018 Jeep Compass 1.4 Limited Option,₹15.50 Lakh,"Kottivakkam, Chennai",Nov 2018,Comprehensive,Petrol,5 Seats,"22,000 Kms",Chennai,First Owner,1368 cc,Automatic,2018,1368 cc,160 bhp,5,4X2,16 kmpl,,,,178mm,,,,,,,,
2021 Hyundai Grand i10 Nios Sportz,₹5.92 Lakh,"Thiruverkadu, Chennai",Jul 2021,Comprehensive,Petrol,5 Seats,"16,510 Kms",Chennai,First Owner,1197 cc,Manual,2021,1197 cc,81.86 bhp,,,20.7 kmpl,Petrol,2,,,,,,,,,,
2022 Hyundai Grand i10 Nios AMT Sportz,₹6.83 Lakh,"Ganapathipuram, Chennai",Jan 2022,Zero Dep,Petrol,5 Seats,"37,059 Kms",Chennai,First Owner,1197 cc,Automatic,2022,1197 cc,81.86 bhp,,,20.7 kmpl,Petrol,2,,,,,,,,,,
2023 Toyota Hyryder S CNG,₹13 Lakh,Chennai,2023,Expired,CNG,5 Seats,"40,000 Kms",Chennai,First Owner,1462 cc,Manual,2023,1462 cc,86.63 bhp,5,FWD,26.6 km/kg,CNG,,,,,,,,,,,
2017 Honda WR-V i-VTEC VX,₹5.45 Lakh,"Porur, Chennai",Jun 2017,Comprehensive,Petrol,5 Seats,"76,867 Kms",Chennai,Second Owner,1199 cc,Manual,2017,1199 cc,88.7 bhp,,FWD,17.5 kmpl,,,,188mm,,,,,,,,
2022 Hyundai Verna S Plus,₹9.99 Lakh,"Thygaraya Nagar, Chennai",Nov 2022,Comprehensive,Petrol,5 Seats,"11,000 Kms",Chennai,First Owner,1497 cc,Manual,2022,1497 cc,113.18 bhp,,,17.7 kmpl,Petrol,2,,,,,,,,,,
2013 Mahindra XUV500 W8 FWD,₹7.35 Lakh,"Chromepet, Chennai",Dec 2013,Expired,Diesel,7 Seats,"1,14,256 Kms",Chennai,Second Owner,2179 cc,Manual,2013,2179 cc,140 bhp,7,AWD,15.1 kmpl,Diesel,,,,,,,,,,,
2020 Hyundai Creta 1.6 VTVT S,₹11.50 Lakh,"Thygaraya Nagar, Chennai",May 2020,Comprehensive,Petrol,5 Seats,"25,000 Kms",Chennai,First Owner,1591 cc,Manual,2020,1591 cc,121.3 bhp,,FWD,15.29 kmpl,,,,190mm,,,,,,,,
2018 Tata Nexon XZ Plus (O) Diesel,₹6.57 Lakh,"Airport, Chennai",Jan 2019,Comprehensive,Diesel,5 Seats,"86,982 Kms",Chennai,First Owner,1497 cc,Manual,2018,1497 cc,108.49 bhp,5,,21.19 kmpl,Diesel,,,209,,,,,,,,
