title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2024 Hyundai Creta S (O) iVT,₹14.55 Lakh,Ahmedabad,2024,Expired,Petrol,5 Seats,"10,000 Kms",Vadodara,First Owner,1497 cc,Automatic,2024,1497 cc,113.18 bhp,17.7 kmpl,,,,5,FWD,,190 mm,,,,,,
2020 Maruti Vitara Brezza ZXI Plus AT,₹8.24 Lakh,"Gota, Ahmedabad",Sept 2020,Comprehensive,Petrol,5 Seats,"66,690 Kms",Kheda,First Owner,1462 cc,Automatic,2020,1462 cc,103.26 bhp,18.76 kmpl,Petrol,,,,FWD,,,,,,,,
2017 Hyundai Creta 1.6 CRDi AT SX Plus,₹8.40 Lakh,"Krishnanagar, Ahmedabad",Dec 2017,Expired,Diesel,5 Seats,"92,041 Kms",Ahmedabad,Second Owner,1582 cc,Automatic,2017,1582 cc,126.2 bhp,17.01 kmpl,,,,5,FWD,,190mm,,,,,,
2017 Maruti Swift Dzire ZXI 1.2,₹5.23 Lakh,"Naroda, Ahmedabad",Sept 2017,Zero Dep,Petrol,5 Seats,"31,297 Kms",Ahmedabad,First Owner,1197 cc,Manual,2017,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2017 Renault Triber RXZ Dual Tone,₹5.46 Lakh,"Gota, Ahmedabad",Feb 2020,Comprehensive,Petrol,7 Seats,"34,977 Kms",Vadodara,First Owner,999 cc,Manual,2017,999 cc,71.01 bhp,20 kmpl,Petrol,,,7,,,,,4 Star,,,,
2018 Mahindra KUV 100 mFALCON G80 K2,₹3.22 Lakh,"Naroda, Ahmedabad",Nov 2018,Zero Dep,Petrol,6 Seats,"75,009 Kms",Ahmedabad,First Owner,1198 cc,Manual,2018,1198 cc,82 bhp,18.15 kmpl,,,,,FWD,,170mm,,,,,,
2020 BMW X3 xDrive 20d Luxury Line,₹45 Lakh,Ahmedabad,2020,Expired,Diesel,5 Seats,"1,00,000 Kms",Ahmedabad,First Owner,1995 cc,Automatic,2020,1995 cc,187.7 bhp,,Diesel,,,,AWD,213 kmph,,,,,,,
2015 Mercedes-Benz S-Class S 500 L,₹50 Lakh,Ahmedabad,2015,Expired,Petrol,5 Seats,"80,000 Kms",Ahmedabad,Second Owner,4663 cc,Automatic,2015,4663 cc,453.26 bhp,,Petrol,,,,RWD,250 kmph,,,,,,,
2019 Maruti Ciaz Delta BSIV,₹5.70 Lakh,"Naroda, Ahmedabad",Apr 2019,Third Party,Petrol,5 Seats,"71,648 Kms",Ahmedabad,First Owner,1462 cc,Manual,2019,1462 cc,103.25 bhp,21.56 kmpl,Petrol,2,,,,,,,,,,,
2017 Nissan Sunny Diesel XE,₹3.13 Lakh,"Gota, Ahmedabad",Mar 2018,Comprehensive,Diesel,5 Seats,"1,03,969 Kms",Vadodara,Second Owner,1461 cc,Manual,2017,1461 cc,84.8 bhp,22.71 kmpl,Diesel,,,,,,,,,,,,
