title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.33 Lakh,"Naroda, Ahmedabad",Jan 2018,Third Party,Petrol,5 Seats,"65,693 Kms",Ahmedabad,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2014 Maruti Alto 800 LXI,₹1.50 Lakh,Ahmedabad,2014,Expired,Petrol,5 Seats,"1,20,000 Kms",Banaskantha,Third Owner,796 cc,Manual,2014,796 cc,47.3 bhp,22.74 kmpl,Petrol,,3395mm,,,,,,,,,,
2016 Tata Indigo LS TDI BSIII,₹1.30 Lakh,Ahmedabad,2016,Expired,Diesel,5 Seats,"90,000 Kms",Mehsana,Second Owner,1396 cc,Manual,2016,,,,,,,,,,,,,,,,
2017 Mahindra KUV 100 mFALCON D75 K8,₹3.95 Lakh,"Makarba, Ahmedabad",Aug 2017,Expired,Diesel,6 Seats,"66,000 Kms",Banaskantha,Second Owner,1198 cc,Manual,2017,1198 cc,77 bhp,25.32 kmpl,,,,,FWD,,170mm,,,,,,
2021 Renault Triber RXL BSVI,₹4.78 Lakh,"Mumatpura, Ahmedabad",May 2021,Expired,Petrol,7 Seats,"44,496 Kms",Sabarkantha,First Owner,999 cc,Manual,2021,999 cc,71.01 bhp,20 kmpl,Petrol,,,7,,,,,,,,,
2012 Tata Indica Aura 1.3 Quadrajet (ABS),₹1.10 Lakh,Ahmedabad,2012,Expired,Diesel,5 Seats,"1,60,000 Kms",Vadodara,Third Owner,1248 cc,Manual,2012,1248 cc,,18 kmpl,Diesel,,3795 mm,,,,,,,,,,
2017 Ford Ecosport 1.5 Diesel Titanium BSIV,₹3.99 Lakh,"Naranpura, Ahmedabad",Nov 2017,Comprehensive,Diesel,5 Seats,"73,000 Kms",Ahmedabad,Second Owner,1498 cc,Manual,2017,1498 cc,98.96 bhp,23 kmpl,,,,,FWD,,200mm,,,,,,
2014 Audi A4 35 TDI Premium,₹5.99 Lakh,"Indirapuram, Ghaziabad",Oct 2014,Third Party,Diesel,5 Seats,"75,300 Kms",New Delhi,Third Owner,1968 cc,Automatic,2014,1968 cc,174.33 bhp,17.11 kmpl,Diesel,,,,,,,,,,,,
2015 Honda Amaze S i-Dtech,₹3.25 Lakh,"Sardarnagar, Ahmedabad",Nov 2015,Third Party,Diesel,5 Seats,"61,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2015,1498 cc,98.6 bhp,25.8 kmpl,Diesel,,,,,,,,,,,,
2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹12.75 Lakh,"Makarba, Ahmedabad",Oct 2024,Comprehensive,Petrol,4 Seats,"33,000 Kms",Ahmedabad,First Owner,1997 cc,Automatic,2022,1997 cc,150 bhp,8 kmpl,,,,4,4X4,,226mm,,4 Star,,,,
2020 Renault KWID RXT,₹3 Lakh,"Gota, Ahmedabad",Sept 2020,Comprehensive,Petrol,5 Seats,"70,659 Kms",Surat,First Owner,799 cc,Manual,2020,,,,,,,,,,,,,,,,
2022 Hyundai Creta SX BSVI,₹12.40 Lakh,"Naroda, Ahmedabad",Feb 2023,Zero Dep,Petrol,5 Seats,"57,895 Kms",Mehsana,First Owner,1497 cc,Manual,2022,1497 cc,113.18 bhp,14 kmpl,Petrol,6,,5,,,,,,,,,
2018 Nissan Micra Active XV,₹3.75 Lakh,"Naranpura, Ahmedabad",Oct 2018,Comprehensive,Petrol,5 Seats,"49,000 Kms",Mehsana,First Owner,1198 cc,Manual,2018,1198 cc,67.04 bhp,19.69 kmpl,Petrol,2,,,,,,,,,,,
2024 Tata Punch EV Empowered Plus LR,₹13.50 Lakh,Ahmedabad,2024,Expired,Electric,5 Seats,"20,000 Kms",,First Owner,,Automatic,2024,,120.69 bhp,,,,,,,,,366 Litres,5 Star,421 km,35 kWh,56 Min-50 kW(10-80%),5H 7.2 kW (10-100%)
2021 Maruti Alto 800 VXI,₹3.39 Lakh,"Gota, Ahmedabad",Dec 2021,Comprehensive,Petrol,5 Seats,"39,603 Kms",Surendranagar,First Owner,796 cc,Manual,2021,796 cc,47.3 bhp,24.7 kmpl,Petrol,,3430mm,,,,,,,,,,
2016 Maruti Baleno 1.2 CVT Delta,₹4 Lakh,"Navrangpura, Ahmedabad",May 2016,Expired,Petrol,5 Seats,"55,000 Kms",Mandvi (Kachchh),Second Owner,1197 cc,Automatic,2016,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,3995mm,,,,,,,,,,
2016 Maruti Swift Dzire VXI,₹4.35 Lakh,"Mumatpura, Ahmedabad",Jan 2017,Third Party,Petrol,5 Seats,"69,090 Kms",Surat,First Owner,1197 cc,Manual,2016,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,,378 Litres,3 Star,,,,
2022 Hyundai Creta S plus Knight Diesel BSVI,₹11.25 Lakh,"Vasna, Ahmedabad",Aug 2022,Third Party,Diesel,5 Seats,"71,300 Kms",Bharuch,First Owner,1493 cc,Manual,2022,1493 cc,113.45 bhp,,Diesel,6,,5,,,,,,,,,
2014 Hyundai i10 Era,₹3 Lakh,"Navrangpura, Ahmedabad",Jan 2014,Expired,Petrol,5 Seats,"45,000 Kms",Ahmedabad,First Owner,1086 cc,Manual,2014,1086 cc,68.05 bhp,19.81 kmpl,Petrol,,3585mm,,,,,,,,,,
2014 Hyundai i10 Sportz 1.1L,₹3.15 Lakh,"Naranpura, Ahmedabad",Jun 2014,Comprehensive,Petrol,5 Seats,"58,600 Kms",Ahmedabad,First Owner,1086 cc,Manual,2014,1086 cc,68.05 bhp,19.81 kmpl,Petrol,,3585mm,,,,,,,,,,
2009 Chevrolet Spark 1.0 PS,₹1.41 Lakh,"Naranpura Vistar, Ahmedabad",Jan 2010,Comprehensive,Petrol,5 Seats,"35,000 Kms",Surat,First Owner,995 cc,Manual,2009,995 cc,,16 kmpl,Petrol,,"3,495 mm",,,,,,,,,,
2016 Hyundai i20 Asta Option 1.4 CRDi,₹4.99 Lakh,"Vasna, Ahmedabad",Sept 2016,Expired,Diesel,5 Seats,"80,100 Kms",Ahmedabad,Second Owner,1396 cc,Manual,2016,,,,,,,,,,,,,,,,
2016 Renault KWID RXT,₹2.10 Lakh,"Sardarnagar, Ahmedabad",Apr 2016,Third Party,Petrol,5 Seats,"48,000 Kms",Ahmedabad,First Owner,799 cc,Manual,2016,799 cc,53.3 bhp,25.17 kmpl,Petrol,,3679mm,,,,,,,,,,
2014 Hyundai EON Era Plus,₹1.95 Lakh,"Vasna, Ahmedabad",May 2014,Expired,Petrol,5 Seats,"77,700 Kms",Godhra,Second Owner,814 cc,Manual,2014,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2016 Maruti Wagon R VXI BS IV,₹3.02 Lakh,"Naroda, Ahmedabad",Mar 2016,Third Party,Petrol,5 Seats,"57,229 Kms",Ahmedabad,Second Owner,998 cc,Manual,2016,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2013 Maruti Swift VXI,₹3.35 Lakh,"Ghodasar, Ahmedabad",Jun 2013,Third Party,Petrol,5 Seats,"68,000 Kms",Ahmedabad,Third Owner,1197 cc,Manual,2013,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,3850mm,,,,,,,,,,
2010 Maruti Swift 1.3 VXi,₹1.70 Lakh,Ahmedabad,2010,Expired,Petrol,5 Seats,"60,000 Kms",,Second Owner,1298 cc,Manual,2010,1298 cc,,16.1 kmpl,Petrol,,3760mm,,,,,,,,,,
2016 Honda Amaze VX AT i-Vtech,₹4.50 Lakh,"Makarba, Ahmedabad",Mar 2017,Expired,Petrol,5 Seats,"58,000 Kms",Ahmedabad,Second Owner,1198 cc,Automatic,2016,1198 cc,86.7 bhp,15.5 kmpl,Petrol,,,,,,,,,,,,
2015 Hyundai Grand i10 AT Asta,₹4.15 Lakh,"Naranpura, Ahmedabad",Apr 2015,Third Party,Petrol,5 Seats,"70,000 Kms",Ahmedabad,First Owner,1197 cc,Automatic,2015,1197 cc,82 bhp,18.9 kmpl,Petrol,,3765mm,,,,,,,,,,
2021 Tata Tigor 1.2 Revotron XZ,₹5.41 Lakh,"Gota, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"39,300 Kms",Vadodara,First Owner,1199 cc,Manual,2021,1199 cc,84 bhp,20.3 kmpl,Petrol,,,,,,,,,,,,
2024 Mercedes-Benz GLA 200,₹43 Lakh,Ahmedabad,2024,Expired,Petrol,5 Seats,"10,000 Kms",Ahmedabad,First Owner,1332 cc,Automatic,2024,1332 cc,160.92 bhp,,Petrol,,,,FWD,210 kmph,,,,,,,
2018 Maruti Vitara Brezza ZDi Plus AMT,₹6.95 Lakh,"Pada Pole Gandhi Road, Ahmedabad",Aug 2018,Expired,Diesel,5 Seats,"76,000 Kms",Ahmedabad,Second Owner,1248 cc,Automatic,2018,1248 cc,88.5 bhp,24.3 kmpl,,,,,FWD,,198mm,,,,,,
2017 Volvo S60 Cross Country D4 AWD BSIV,₹15 Lakh,Ahmedabad,2017,Expired,Diesel,5 Seats,"70,000 Kms",,First Owner,2400 cc,Automatic,2017,,,,,,,,,,,,,,,,
2016 Maruti Alto 800 LXI CNG,₹2.68 Lakh,"Gota, Ahmedabad",Jan 2017,Comprehensive,CNG,5 Seats,"80,455 Kms",Ahmedabad,First Owner,796 cc,Manual,2016,796 cc,47.3 bhp,33 km/kg,CNG,1,,,,,,,,,,,
2022 Tata Tigor XZ Plus CNG BSVI,₹6.50 Lakh,"Mumatpura, Ahmedabad",Sept 2022,Third Party,CNG,5 Seats,"38,254 Kms",Ahmedabad,First Owner,1199 cc,Manual,2022,1199 cc,72.40 bhp,26.49 km/kg,CNG,2,,,,,,,,,,,
2019 Jeep Compass 2.0 Limited,₹13.51 Lakh,"Ambli, Ahmedabad",Jun 2019,Comprehensive,Diesel,5 Seats,"80,384 Kms",Ahmedabad,First Owner,1956 cc,Manual,2019,1956 cc,170 bhp,17.1 kmpl,,,,5,4X2,,178mm,,,,,,
2012 Hyundai i10 Magna,₹2.50 Lakh,"Naranpura, Ahmedabad",Nov 2012,Expired,Petrol,5 Seats,"75,000 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2012,1197 cc,78.9 bhp,20.36 kmpl,Petrol,,3585mm,,,,,,,,,,
2013 Maruti Swift Dzire ZXI,₹3.75 Lakh,"Abasana, Ahmedabad",Apr 2013,Expired,Petrol,5 Seats,"69,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2013,1197 cc,85.8 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2023 Hyundai Venue N Line N8 turbo DCT BSVI,₹11.74 Lakh,Ahmedabad,2023,Expired,Petrol,5 Seats,"30,000 Kms",Mehsana,First Owner,998 cc,Automatic,2023,998 cc,118.41 bhp,,Petrol,6,,5,,,,,,,,,
2014 Honda Brio S MT,₹3.15 Lakh,"Makarba, Ahmedabad",Nov 2014,Expired,Petrol,5 Seats,"85,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2014,1198 cc,86.8 bhp,19.4 kmpl,Petrol,,3610mm,,,,,,,,,,
2021 Maruti Ciaz Alpha BSVI,₹7.45 Lakh,"Vasna, Ahmedabad",Jul 2021,Expired,Petrol,5 Seats,"41,400 Kms",Banaskantha,First Owner,1462 cc,Manual,2021,1462 cc,103.25 bhp,20.65 kmpl,Petrol,2,,,,,,,,,,,
2010 Hyundai i10 Asta 1.2 AT with Sunroof,₹2.75 Lakh,"Naranpura Vistar, Ahmedabad",Apr 2010,Comprehensive,Petrol,5 Seats,"50,000 Kms",Ahmedabad,First Owner,1197 cc,Automatic,2010,1197 cc,,19.2 kmpl,Petrol,,"3,565 mm",,,,,,,,,,
2018 Maruti Ignis 1.2 AMT Delta BSIV,₹4.40 Lakh,"Makarba, Ahmedabad",Apr 2018,Comprehensive,Petrol,5 Seats,"82,000 Kms",Ahmedabad,First Owner,1197 cc,Automatic,2018,1197 cc,81.80 bhp,20.89 kmpl,Petrol,2,,,,,,,,,,,
2014 Hyundai i20 Asta Optional with Sunroof 1.2,₹4.35 Lakh,"Makarba, Ahmedabad",Nov 2014,Expired,Petrol,5 Seats,"74,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2014,1197 cc,82.85 bhp,18.5 kmpl,Petrol,,3995mm,,,,,,,,,,
2020 Maruti Baleno Delta,₹5.06 Lakh,"Mumatpura, Ahmedabad",Dec 2020,Third Party,Petrol,5 Seats,"48,865 Kms",Ahmedabad,First Owner,1197 cc,Manual,2020,,,,,,,,,,,,,,,,
2020 Maruti Swift Dzire VXI 1.2,₹5.49 Lakh,"Naroda, Ahmedabad",Aug 2020,Third Party,Petrol,5 Seats,"61,434 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2020,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2015 Volkswagen Vento 1.5 TDI Comfortline AT,₹5.25 Lakh,"Naranpura Vistar, Ahmedabad",Sept 2015,Comprehensive,Diesel,5 Seats,"62,000 Kms",Ahmedabad,Third Owner,1498 cc,Automatic,2015,1498 cc,108.5 bhp,21.5 kmpl,Diesel,,,,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.79 Lakh,"Gota, Ahmedabad",Sept 2018,Comprehensive,Petrol,5 Seats,"28,615 Kms",Surat,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2013 Hyundai i20 Sportz 1.4 CRDi,₹2.70 Lakh,"Pada Pole Gandhi Road, Ahmedabad",Aug 2013,Comprehensive,Diesel,5 Seats,"85,000 Kms",Ahmedabad,First Owner,1396 cc,Manual,2013,1396 cc,88.76 bhp,21.9 kmpl,Diesel,,3995mm,,,,,,,,,,
2020 Hyundai i20 Sportz Plus,₹6.06 Lakh,"Mumatpura, Ahmedabad",Oct 2020,Zero Dep,Petrol,5 Seats,"59,597 Kms",Kheda,First Owner,1197 cc,Manual,2020,1197 cc,81.86 bhp,18.6 kmpl,Petrol,2,,,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.01 Lakh,"Gota, Ahmedabad",Feb 2018,Comprehensive,Petrol,5 Seats,"32,940 Kms",Surat,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2022 Renault KWID RXL Opt,₹3.75 Lakh,"Vasna, Ahmedabad",Jul 2022,Third Party,Petrol,5 Seats,"50,600 Kms",bardoli,First Owner,799 cc,Manual,2022,799 cc,53.26 bhp,22.25 kmpl,Petrol,2,,,,,,,,,,,
2014 Honda Mobilio V i-DTEC,₹4.85 Lakh,"Ghodasar, Ahmedabad",Mar 2015,Comprehensive,Diesel,7 Seats,"80,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,24.2 kmpl,Diesel,,,7,,,,,,,,,
2019 Honda City i-VTEC ZX,₹7.99 Lakh,"Mumatpura, Ahmedabad",Dec 2019,Third Party,Petrol,5 Seats,"21,234 Kms",Ahmedabad,First Owner,1497 cc,Manual,2019,,,,,,,,,,,,,,,,
2013 Hyundai EON Era Plus,₹1.20 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"70,000 Kms",,Fifth Owner,814 cc,Manual,2013,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2014 Hyundai Grand i10 Asta,₹3.75 Lakh,"Naroda, Ahmedabad",Aug 2014,Comprehensive,Petrol,5 Seats,"44,871 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2014,1197 cc,82 bhp,18.9 kmpl,Petrol,,3765mm,,,,,,,,,,
2014 Maruti Wagon R VXI BS IV,₹2.91 Lakh,"Naroda, Ahmedabad",Sept 2014,Third Party,Petrol,5 Seats,"71,596 Kms",Ahmedabad,First Owner,998 cc,Manual,2014,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2018 Maruti S Cross Alpha DDiS 200 SH,₹7.50 Lakh,Ahmedabad,2018,Expired,Diesel,5 Seats,"10,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2018,,,,,,,,,,,,,,,,
2014 Maruti Ertiga VDI,₹4.15 Lakh,Ahmedabad,2014,Expired,Diesel,7 Seats,"1,60,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2014,1248 cc,88.76 bhp,20.77 kmpl,Diesel,,,7,,,,,,,,,
2023 Kia Sonet HTK Plus,₹8.25 Lakh,Ahmedabad,2023,Expired,Petrol,5 Seats,"10,000 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2023,1197 cc,81.86 bhp,18.4 kmpl,Petrol,,,,2WD,,,,,,,,
2013 Audi A4 2.0 TDI,₹9.95 Lakh,"Makarba, Ahmedabad",Sept 2013,Expired,Diesel,5 Seats,"73,000 Kms",Ahmedabad,First Owner,1968 cc,Automatic,2013,1968 cc,147.51 bhp,16.55 kmpl,Diesel,,,,,,,,,,,,
2010 Tata Manza Aura Safire,₹1.37 Lakh,"Naranpura Vistar, Ahmedabad",Nov 2010,Expired,Petrol,5 Seats,"54,000 Kms",Ahmedabad,First Owner,1368 cc,Manual,2010,1368 cc,,15 kmpl,Petrol,,,,,,,,,,,,
2015 Hyundai i20 Asta 1.4 CRDi,₹5.23 Lakh,"Gota, Ahmedabad",Aug 2015,Comprehensive,Diesel,5 Seats,"92,388 Kms",Gandhinagar,First Owner,1396 cc,Manual,2015,1396 cc,88.73 bhp,22.54 kmpl,Diesel,,3985mm,,,,,,,,,,
2011 Honda City V MT,₹3 Lakh,"Sardarnagar, Ahmedabad",Jul 2011,Third Party,Petrol,5 Seats,"59,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2011,1497 cc,116.3 bhp,16.8 kmpl,Petrol,,,,,,,,,,,,
2018 Mahindra TUV 300 T10,₹6.11 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2018,Comprehensive,Diesel,7 Seats,"61,000 Kms",Ahmedabad,Second Owner,1493 cc,Manual,2018,1493 cc,100 bhp,18.49 kmpl,,,,,RWD,,184mm,,,,,,
2019 Volvo XC60 Inscription D5 BSIV,₹51.50 Lakh,"Ambli, Ahmedabad",Oct 2019,Comprehensive,Diesel,5 Seats,"51,316 Kms",Gandhinagar,First Owner,1969 cc,Automatic,2019,1969 cc,235 bhp,,Diesel,,,,AWD,220 kmph,,,,,,,
2010 Hyundai i10 Magna 1.1,₹1.55 Lakh,Ahmedabad,2010,Expired,Petrol,5 Seats,"80,000 Kms",Ahmedabad,First Owner,1086 cc,Manual,2010,1086 cc,68.05 bhp,19.81 kmpl,Petrol,,3585mm,,,,,,,,,,
2012 Renault Duster 110PS Diesel RxL,₹1.85 Lakh,Ahmedabad,2012,Expired,Diesel,5 Seats,"70,000 Kms",Ahmedabad,Third Owner,1461 cc,Manual,2012,1461 cc,108.45 bhp,19.01 kmpl,,,,,FWD,,205mm,,,,,,
2017 Maruti Ciaz Petrol,₹4.99 Lakh,"Gota, Ahmedabad",Jul 2017,Comprehensive,Diesel,,"1,09,268 Kms",Ahmedabad,Second Owner,1248 cc,Manual,2017,1248 cc,88.5 bhp,,Diesel,,,,,,,,,,,,
2017 Renault KWID 1.0 RXL,₹2.34 Lakh,"Naroda, Ahmedabad",Jan 2018,Expired,Petrol,5 Seats,"92,906 Kms",Rajkot,First Owner,999 cc,Manual,2017,999 cc,67 bhp,23.01 kmpl,Petrol,,3679mm,,,,,,,,,,
2016 Honda Amaze SX i VTEC,₹4.31 Lakh,"Gota, Ahmedabad",Sept 2016,Comprehensive,Petrol,5 Seats,"55,884 Kms",Ahmedabad,First Owner,1198 cc,Manual,2016,1198 cc,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2016 Ford Ecosport 1.5 Ti VCT MT Ambiente BSIV,₹4.25 Lakh,"Bopal, Ahmedabad",Apr 2016,Comprehensive,Petrol,5 Seats,"36,000 Kms",Ahmedabad,Second Owner,1499 cc,Manual,2016,1499 cc,110.4 bhp,15.85 kmpl,,,,,FWD,,200mm,,,,,,
2022 Hyundai Grand i10 Nios Sportz CNG,₹6.95 Lakh,"Vasna, Ahmedabad",Jan 2023,Comprehensive,CNG,5 Seats,"43,600 Kms",Ahmedabad,First Owner,1197 cc,Manual,2022,,,,,,,,,,,,,,,,
2015 Maruti Swift VXI,₹4.33 Lakh,"Gota, Ahmedabad",May 2015,Comprehensive,Petrol,5 Seats,"24,697 Kms",Ahmedabad,First Owner,1197 cc,Manual,2015,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,3850mm,,,,,,,,,,
2020 Hyundai Venue S BSIV,₹6.35 Lakh,"Vasna, Ahmedabad",Jan 2021,Third Party,Petrol,5 Seats,"56,300 Kms",Mandvi (Kachchh),Second Owner,1197 cc,Manual,2020,,,,,,,,,,,,,,,,
2022 MG Hector Sharp Diesel MT,₹15.90 Lakh,"Naranpura, Ahmedabad",Jun 2022,Zero Dep,Diesel,5 Seats,"56,000 Kms",Ahmedabad,First Owner,1956 cc,Manual,2022,,,,,,,,,,,,,,,,
2018 Hyundai Creta 1.6 VTVT SX Plus,₹9.61 Lakh,"Naranpura Vistar, Ahmedabad",Jan 2019,Comprehensive,Petrol,5 Seats,"85,000 Kms",Ahmedabad,First Owner,1591 cc,Manual,2018,1591 cc,121.3 bhp,13 kmpl,,,,,FWD,,190mm,,,,,,
2018 BMW X1 sDrive 20d xLine,₹22.90 Lakh,"Chattarpur, New Delhi",Jan 2018,Comprehensive,Diesel,5 Seats,"66,000 Kms",Gorakhpur,Second Owner,1995 cc,Automatic,2018,,,,,,,,,,,,,,,,
2014 Maruti Swift ZDi,₹3.70 Lakh,"Naroda, Ahmedabad",Dec 2014,Expired,Diesel,5 Seats,"49,947 Kms",Sabarkantha,Second Owner,1248 cc,Manual,2014,1248 cc,74 bhp,22.9 kmpl,Diesel,,3850mm,,,,,,,,,,
2015 Maruti Wagon R VXI BS IV,₹3.15 Lakh,"Bopal, Ahmedabad",Sept 2015,Comprehensive,Petrol,5 Seats,"68,000 Kms",Ahmedabad,Second Owner,998 cc,Manual,2015,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2014 Renault Fluence E2 D,₹5.52 Lakh,Ahmedabad,2014,Expired,Diesel,5 Seats,"90,000 Kms",Anand,Second Owner,1461 cc,Manual,2014,,,,,,,,,,,,,,,,
2021 Honda Jazz V CVT,₹7.25 Lakh,"Naranpura, Ahmedabad",Mar 2021,Expired,Petrol,5 Seats,"31,250 Kms",Vadodara,First Owner,1199 cc,Automatic,2021,1199 cc,88.50 bhp,17.1 kmpl,Petrol,2,,,,,,,,,,,
2019 Toyota Innova Crysta 2.4 VX MT 8 STR,₹18.75 Lakh,"Ghatlodia, Ahmedabad",Jul 2019,Comprehensive,Diesel,8 Seats,"69,000 Kms",Ahmedabad,First Owner,2393 cc,Manual,2019,2393 cc,147.51 bhp,,Diesel,3,,7,,,,,,,,,
2019 Tata Nexon 1.2 Revotron XZ,₹6.25 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"30,000 Kms",Banaskantha,First Owner,1198 cc,Manual,2019,1198 cc,108.5 bhp,17 kmpl,Petrol,,,,FWD,,,,,,,,
2021 Kia Sonet HTK Plus Turbo iMT BSVI,₹7.27 Lakh,"Mumatpura, Ahmedabad",Feb 2021,Third Party,Petrol,5 Seats,"43,080 Kms",Ahmedabad,First Owner,998 cc,Manual,2021,998 cc,118.36 bhp,18.2 kmpl,Petrol,,,,FWD,,,,,,,,
2013 Hyundai i10 Magna,₹1.90 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"60,000 Kms",kalka,First Owner,1197 cc,Manual,2013,1197 cc,78.9 bhp,20.36 kmpl,Petrol,,3585mm,,,,,,,,,,
2016 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹3.83 Lakh,"Gota, Ahmedabad",Mar 2017,Comprehensive,Petrol,5 Seats,"1,01,688 Kms",Vadodara,First Owner,1197 cc,Manual,2016,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2022 Hyundai Grand i10 Nios Sportz CNG,₹6.52 Lakh,"Naroda, Ahmedabad",Sept 2022,Third Party,CNG,5 Seats,"46,298 Kms",patan,First Owner,1197 cc,Manual,2022,1197 cc,68.05 bhp,24 km/kg,CNG,2,,,,,,,,,,,
2022 Maruti Baleno Alpha,₹7.20 Lakh,"Mumatpura, Ahmedabad",Jul 2022,Third Party,Petrol,5 Seats,"38,680 Kms",Ahmedabad,First Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,21.01 kmpl,Petrol,2,,,,,,,,,,,
2016 Jaguar XJ 2.0L Portfolio,₹41.90 Lakh,"Chattarpur, New Delhi",Jan 2016,Comprehensive,Petrol,5 Seats,"22,000 Kms",Noida,Second Owner,1999 cc,Automatic,2016,1999 cc,237.4 bhp,,Petrol,,,,AWD,241 kmph,,,,,,,
2021 Renault KWID Neotech,₹2.75 Lakh,Ahmedabad,2021,Expired,Petrol,5 Seats,"50,000 Kms",Ahmedabad,First Owner,799 cc,Manual,2021,799 cc,53.26 bhp,21.74 kmpl,Petrol,1,,,,,,,,,,,
2015 Honda City VX MT,₹5.97 Lakh,"Gota, Ahmedabad",Nov 2015,Comprehensive,Petrol,5 Seats,"37,365 Kms",Ahmedabad,First Owner,1498 cc,Manual,2015,,,,,,,,,,,,,,,,
2019 Maruti Alto K10 VXI,₹2.50 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"80,000 Kms",,First Owner,998 cc,Manual,2019,998 cc,67.05 bhp,23.95 kmpl,Petrol,1,,,,,,,,,,,
2022 Maruti Alto 800 VXI,₹3.51 Lakh,"Gota, Ahmedabad",Aug 2022,Comprehensive,Petrol,5 Seats,"17,020 Kms",Ahmedabad,Second Owner,796 cc,Manual,2022,796 cc,47.3 bhp,24.7 kmpl,Petrol,,3430mm,,,,,,,,,,
2013 Honda Brio S MT,₹1.99 Lakh,Ahmedabad,Aug 2013,Expired,Petrol,5 Seats,"83,000 Kms",Ahmedabad,Second Owner,1198 cc,Manual,2013,1198 cc,86.8 bhp,19.4 kmpl,Petrol,,3610mm,,,,,,,,,,
2023 Renault Kiger RXE,₹6.20 Lakh,Ahmedabad,2023,Expired,Petrol,5 Seats,"10,000 Kms",Ahmedabad,First Owner,999 cc,Manual,2023,999 cc,71.01 bhp,19.17 kmpl,Petrol,,,,,,205,,,,,,
2015 Maruti Swift VXI,₹4.25 Lakh,"Naranpura, Ahmedabad",Aug 2015,Comprehensive,Petrol,5 Seats,"57,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2015,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2019 Ford Aspire 1.2 Ti-VCT Titanium,₹4.70 Lakh,"Gota, Ahmedabad",Jul 2019,Comprehensive,Petrol,5 Seats,"56,215 Kms",Bhavnagar,First Owner,1196 cc,Manual,2019,1196 cc,86.8 bhp,18.16 kmpl,Petrol,,,,,,,,,,,,
2021 Hyundai Santro Sportz,₹4.54 Lakh,"Naroda, Ahmedabad",Oct 2021,Expired,Petrol,5 Seats,"29,735 Kms",Kheda,First Owner,1086 cc,Manual,2021,1086 cc,68.05 bhp,20.3 kmpl,Petrol,2,,,,,,,,,,,
