Power (bhp),Engine Displacement (cc),Year of Manufacture,Registration Year,Fuel Type,Mileage (kmpl),Area,Brand,price (Lakh)
118.0,1199.0,2023,2023,3,17.33,177,26,997
81.0,1197.0,2018,2019,3,18.9,98,10,515
147.0,2393.0,2017,2017,0,18.9,177,27,1549
190.0,1995.0,2014,2014,0,18.9,7,2,1045
117.0,1497.0,2018,2018,3,17.4,63,9,699
245.0,2993.0,2011,2011,0,18.9,11,2,799
160.0,1368.0,2021,2021,3,14.1,48,12,1990
91.0,1373.0,2017,2017,3,19.12,47,18,675
85.0,1197.0,2018,2018,3,18.6,177,18,462
81.0,1197.0,2017,2017,3,18.6,65,10,402
67.0,998.0,2015,2015,3,20.51,172,18,345
118.0,998.0,2022,2022,3,20.0,86,10,825
150.0,1997.0,2021,2021,3,15.2,137,17,1550
187.0,1968.0,2016,2016,0,18.53,8,1,1850
241.0,1950.0,2021,2021,0,18.9,21,19,70
126.0,1582.0,2017,2017,0,20.5,65,10,916
88.0,1248.0,2018,2018,0,24.3,169,18,825
87.0,1197.0,2023,2023,3,20.0,177,10,945
148.0,2393.0,2021,2021,0,18.9,52,27,2145
121.0,1591.0,2017,2017,3,13.0,8,10,775
86.0,1198.0,2017,2017,3,17.8,27,9,469
203.0,2143.0,2010,2010,0,18.9,160,19,550
138.0,1353.0,2022,2022,3,18.9,27,13,17
214.0,2487.0,2020,2020,3,19.16,70,27,2990
120.0,1595.0,2013,2013,3,18.9,7,19,1150
127.0,1248.0,2020,2020,1,18.9,172,26,825
119.0,1498.0,2024,2024,3,15.31,138,9,1299
81.0,1197.0,2019,2019,3,18.9,107,10,512
65.0,998.0,2023,2023,3,24.97,40,18,597
82.0,1197.0,2016,2016,3,18.9,99,10,325
78.0,1197.0,2012,2012,3,17.71,107,27,252
117.0,1497.0,2015,2015,3,18.0,62,9,495
153.0,2179.0,2017,2017,0,18.9,7,26,895
101.0,1462.0,2015,2015,3,20.51,65,18,504
86.0,1199.0,2021,2021,3,19.33,40,26,649
